,e1,relation,e2,date,predictions
10,North Korea,Engage in negotiation,Japan,2014-08-10,"['Japan', 'Josh Earnest', 'Barack Obama', 'Kuwait', 'Ministry (France)', 'North Korea', 'Christian Democratic Union', 'Cleric (Iraq)', 'Vietnam', 'Party Member (Taiwan)']"
11,Citizen (Nigeria),Make an appeal or request,Treasury/Finance Ministry (Nigeria),2014-07-29,"['Macky Sall', 'Togo', 'Sergey Kuzhugetovich Shoygu', 'Police (South Africa)', 'Shigefumi Matsuzawa', 'Military Personnel (Thailand)', 'Government (Germany)', 'Citizen (Nigeria)', 'Japan Self-Defense Forces', 'Ministry (Venezuela)']"
12,Japan,"Arrest, detain, or charge with legal action",Men (Japan),2014-05-12,"['Afghanistan', 'Treasury/Finance Ministry (Thailand)', 'UN Security Council', 'Military Academy (North Korea)', 'Japan', 'Ministry (Brazil)', 'Togo', 'Militant (Colombia)', 'Børge Brende', 'Sudan']"
13,Ministry (Nigeria),Express intent to cooperate,Citizen (Nigeria),2014-12-29,"['Citizen (Nigeria)', 'Citizen (Belgium)', 'Kidnapper (Argentina)', 'Newspaper (Japan)', 'Ministry (Nigeria)', 'Foreign Affairs (Italy)', 'Hemant Soren', 'Democratic Party (Nigeria)', 'Ijaw Youth Council', 'Iran']"
14,Criminal (Brazil),Use unconventional violence,Citizen (Brazil),2014-12-05,"['Citizen (Brazil)', 'Party Member (Taiwan)', 'China', 'Fula people', 'Gurbanguly Berdymukhammedov', 'African Union', 'Member of Parliament (Iran)', 'Head of Government (Ukraine)', 'Criminal (Brazil)', 'Japan Self-Defense Forces']"
15,China,Appeal for intelligence,Malaysia,2014-03-15,"['Malaysia', 'Vietnam', 'Tsai Ing-wen', '""Citizen (Cote d\\\'Ivoire)""', 'Philippines', 'Association of Southeast Asian Nations', 'Party Member (Bangladesh)', 'China', 'National Anti-Corruption Commission (Thailand)', 'Armed Gang (Afghanistan)']"
16,Citizen (Nigeria),Accuse,Government (Nigeria),2014-05-26,"['Congress of South African Trade Unions', 'Anabela Rodrigues', 'Carrie Lam', 'Government (Nigeria)', 'Citizen (Nigeria)', 'Daniel Scioli', 'Oman', 'Foreign Affairs (Hungary)', 'Ethiopia', 'Head of Government (India)']"
17,Malaysia,Host a visit,Barack Obama,2014-02-19,"['Bank (Iran)', 'Citizen (Brazil)', 'Angela Merkel', 'Barack Obama', 'Malaysia', 'Sheikh Hamad bin Isa al Khalifah', 'Israeli Defense Forces', 'Sudan', 'Ma Ying Jeou', 'Children (Israel)']"
18,Border Security Force,fight with small arms and light weapons,Criminal (Pakistan),2014-01-05,"['Djoomart Otorbaev', 'Military Personnel (Kenya)', 'Party Member (Iraq)', 'Border Security Force', 'Ethiopia', 'International Monetary Fund', 'Citizen (United Kingdom)', 'Shiv Sena', 'Director General (Rwanda)', 'Moro Islamic Liberation Front']"
19,Japan,Engage in negotiation,South Korea,2014-03-20,"['South Korea', 'South Sudan', 'Ashraf Ghani Ahmadzai', 'Japan', 'Algirdas Butkevičius', 'Josh Earnest', 'Kyoto University', 'Fumio Kishida', 'Afghanistan', 'Jonathan Greenert']"
20,South Sudan,Refuse to release persons or property,Detainee (South Sudan),2014-01-11,"['Head of Government (China)', 'Undersecretary (United States)', 'Foreign Affairs (Latvia)', 'Citizen (Namibia)', 'Treasury/Finance Ministry (Bangladesh)', 'Religion (India)', 'Indigenous People (Nigeria)', 'Ministry (Venezuela)', 'South Sudan', 'Member of Parliament (Iran)']"
21,Lawyer/Attorney (Indonesia),Make statement,Heather Mack,2014-08-21,"['The Standard', 'Legislature (Argentina)', 'Colombia', 'William Ruto', 'Media Personnel (Australia)', 'Indigenous People (Tanzania)', 'Military Personnel (Canada)', 'Muslim (Afghanistan)', 'Lawyer/Attorney (Indonesia)', 'Akja Nuberdiyeva']"
22,Police (Indonesia),Investigate,Citizen (Indonesia),2014-06-05,"['Citizen (Indonesia)', 'Lawmaker (Indonesia)', 'Employee (Kenya)', 'Ireland', 'Business (Iran)', 'Military Personnel (Paraguay)', 'Police (Indonesia)', 'Nuri al-Maliki', 'János Áder', 'Election Commission (India)']"
23,Iran,Consult,France,2014-06-16,"['France', 'Combatant (Iraqi Kurds)', 'Togo', 'Labor Party (United Kingdom)', 'Detainee (Lebanon)', 'Kim Jong-Un', 'Citizen (Brazil)', 'Ministry (Tunisia)', 'Iran', 'Police (Belgium)']"
24,Military (Mexico),Use conventional military force,Criminal (Mexico),2014-07-01,"['Justice and Development Party', 'Military Personnel (Paraguay)', 'Ryoo Kihl-jae', 'Government Official (Azerbaijan)', 'Military (Mexico)', 'People Associated with the Opposition (Bahrain)', 'Bhutan', 'Population (Angola)', 'Somsavat Lengsava', 'Amnesty International']"
25,Japan,Engage in negotiation,South Korea,2014-02-18,"['South Korea', 'South Sudan', 'Ashraf Ghani Ahmadzai', 'Japan', 'Algirdas Butkevičius', 'Josh Earnest', 'Kyoto University', 'Fumio Kishida', 'Afghanistan', 'Jonathan Greenert']"
26,Xi Jinping,Express intent to engage in diplomatic cooperation (such as policy support),China,2014-09-16,"['China', 'Joseph Robinette Biden', 'Legislature (Italy)', 'Head of Government (Ukraine)', 'Election Commission (India)', 'Xi Jinping', 'Head of Government (China)', 'Treasury/Finance Ministry (Saudi Arabia)', 'Military Personnel (Afghanistan)', 'Ministry (Liberia)']"
27,China,Consult,Japan,2014-07-02,"['Japan', 'Mbhazima Samuel Shilowa', 'National Council for Peace and Order of Thailand', 'Election Commission (India)', 'Head of Government (Poland)', 'Member of the Judiciary (Turkey)', 'Slovenia', 'China', 'Niger', 'Military (Middle East)']"
28,Head of Government (China),Make a visit,South Korea,2014-06-29,"['South Korea', 'Myanmar', 'Foreign Affairs (Italy)', 'Independent Corrupt Practices Commission', 'Ministry (Tunisia)', 'Inter-Services Intelligence', 'Lawmaker (Russia)', 'Mary Robinson', 'Head of Government (China)', 'Amnesty International']"
29,Iran,Host a visit,Haider Al-Abadi,2014-09-25,"['Defense / Security Ministry (United States)', '""Taufa\\\'ahau Tupou IV""', 'High Commission for Refugees', 'Other Authorities / Officials (Russia)', 'Nationalist Movement Party', 'Business (Iran)', 'Opposition Supporter (Pakistan)', 'Iran', 'Ministry (South Africa)', 'Member of the Judiciary (Iran)']"
30,Other Authorities / Officials (Egypt),"Arrest, detain, or charge with legal action",Criminal (Egypt),2014-02-12,"['Evangelos Venizelos', 'Royal Administration (Spain)', 'Macky Sall', 'Yamfwa Mukanga', 'Carrie Lam', 'Laos', 'Other Authorities / Officials (Egypt)', 'Foreign Affairs (Russia)', 'Agence France-Presse', 'High Commission for Refugees']"
31,Cabinet / Council of Ministers / Advisors (United States),Discuss by telephone,Sergey Viktorovich Lavrov,2014-11-21,"['Sergey Viktorovich Lavrov', 'Congo', 'Iraq', 'Media (India)', 'Military Personnel (Paraguay)', 'Citizen (Brazil)', 'Cabinet / Council of Ministers / Advisors (United States)', 'Government (Sweden)', 'Kisii', 'Gurbanguly Berdymukhammedov']"
32,Philippines,"Arrest, detain, or charge with legal action",Criminal (Philippines),2014-10-09,"['Criminal (Philippines)', 'Alexander Lukashevich', 'Angola', 'Vietnam', 'Marziyeh Afkham', 'Jeff Seeney', 'Men (Tajikistan)', 'Philippines', 'Oommen Chandy', 'Ma Ying Jeou']"
33,Protester (Egypt),"Protest violently, riot",Police (Egypt),2014-01-27,"['Police (Burundi)', 'Abdel Fattah Al-Sisi', 'Sudan', 'Greenpeace', 'Protester (Egypt)', 'Nicos Anastasiades', 'Ministry (Egypt)', 'Cabinet / Council of Ministers / Advisors (Somalia)', 'Lawmaker (Indonesia)', 'Independent Corrupt Practices Commission']"
34,Head of Government (Egypt),Engage in negotiation,Mohamed Ould Abdel Aziz,2014-06-26,"['Mohamed Ould Abdel Aziz', '""Citizen (Cote d\\\'Ivoire)""', 'Ministry (Iran)', 'Guy Scott', 'Reuven Rivlin', 'Employee (Jordan)', 'Evangelos Venizelos', 'Sadayuki Sakakibara', 'Citizen (Suriname)', 'Head of Government (Egypt)']"
35,North Korea,Engage in negotiation,Japan,2014-07-04,"['Japan', 'Josh Earnest', 'Barack Obama', 'Kuwait', 'Ministry (France)', 'North Korea', 'Christian Democratic Union', 'Cleric (Iraq)', 'Vietnam', 'Party Member (Taiwan)']"
36,Police (Kenya),"Arrest, detain, or charge with legal action",Men (Kenya),2014-10-09,"['Ministry (Venezuela)', 'Media (Zimbabwe)', 'Romania', 'Business (Cameroon)', 'Japan', 'Police (Kenya)', 'Citizen (Singapore)', 'Armed Forces of the Republic of Armenia', 'Head of Government (Colombia)', 'Children (Israel)']"
37,Philippines,"Arrest, detain, or charge with legal action",Criminal (Philippines),2014-10-22,"['Criminal (Philippines)', 'Alexander Lukashevich', 'Angola', 'Vietnam', 'Marziyeh Afkham', 'Jeff Seeney', 'Men (Tajikistan)', 'Philippines', 'Oommen Chandy', 'Ma Ying Jeou']"
38,Prayuth Chan-ocha,Express intent to meet or negotiate,Malaysia,2014-09-12,"['""Uganda People\\\'s Defence Force""', 'National Anti-Corruption Commission (Thailand)', 'Head of Government (Tajikistan)', 'National Unity Party (Somalia)', 'Kim Jong-Un', 'Eli Yishai', 'Philip Hammond', 'Head of Government (China)', 'Bank (Iran)', 'Prayuth Chan-ocha']"
39,Other Authorities / Officials (Egypt),"Arrest, detain, or charge with legal action",Criminal (Egypt),2014-03-25,"['Evangelos Venizelos', 'Royal Administration (Spain)', 'Macky Sall', 'Yamfwa Mukanga', 'Carrie Lam', 'Laos', 'Other Authorities / Officials (Egypt)', 'Foreign Affairs (Russia)', 'Agence France-Presse', 'High Commission for Refugees']"
40,Citizen (Nigeria),Accuse,Government (Nigeria),2014-05-22,"['Congress of South African Trade Unions', 'Anabela Rodrigues', 'Carrie Lam', 'Government (Nigeria)', 'Citizen (Nigeria)', 'Daniel Scioli', 'Oman', 'Foreign Affairs (Hungary)', 'Ethiopia', 'Head of Government (India)']"
41,Special Court (Pakistan),"Arrest, detain, or charge with legal action",Pervez Musharraf,2014-08-13,"['Protester (Paraguay)', 'John Kerry', 'Pervez Musharraf', 'Representatives (Slovakia)', 'Women (Mexico)', 'Nuri al-Maliki', 'Military Personnel - Special (Algeria)', 'Head of Government (Bulgaria)', 'Special Court (Pakistan)', 'S.P. Singh']"
42,John Kerry,Meet at a 'third' location,Sergey Viktorovich Lavrov,2014-01-31,"['Foreign Affairs (United States)', 'Antonis Samaras', 'Massoud Barzani', 'Treasury/Finance Ministry (Bangladesh)', 'Greenpeace', 'Citizen (Brazil)', 'Legislature (South Africa)', 'People Associated with the Opposition (Sri Lanka)', 'John Kerry', 'Alexander Lukashevich']"
43,Military (Lebanon),Make statement,Armed Gang (Lebanon),2014-08-05,"['National Alliance (Iraq)', 'Mbhazima Samuel Shilowa', 'Philip Hammond', 'People Associated with the Opposition (Bahrain)', 'Court Judge (Iraq)', 'Main Opposition (Turkey)', 'Al Jazeera', 'Military (Lebanon)', 'Your Party', 'Philip Boedoro']"
44,Police (Tanzania),"Arrest, detain, or charge with legal action",Criminal (Tanzania),2014-11-18,"['Lawyer/Attorney (Argentina)', 'Citizen (South Korea)', 'Government (Georgia)', 'Head of Government (Senegal)', 'Protester (Pakistan)', 'Police (Tanzania)', 'Trade Union Congress', 'Women (Angola)', 'Police (United States)', 'Military (Brazil)']"
45,North Korea,Engage in negotiation,Japan,2014-03-05,"['Japan', 'Josh Earnest', 'Barack Obama', 'Kuwait', 'Ministry (France)', 'North Korea', 'Christian Democratic Union', 'Cleric (Iraq)', 'Vietnam', 'Party Member (Taiwan)']"
46,Court Judge (India),Reject,Citizen (India),2014-05-15,"['Citizen (India)', 'Medical Personnel (Jordan)', 'Michael Sata', 'Court Judge (India)', 'Head of Government (Kosovo)', 'Iran', 'Combatant (Islamic State of Iraq and the Levant)', 'Special Rapporteurs of the United Nations', 'Gideon Gono', 'Amnesty International']"
47,Iraq,Engage in diplomatic cooperation,Iran,2014-10-21,"['Iran', 'Legislature (Libya)', '""Uganda People\\\'s Defence Force""', 'Men (United States)', 'Eugene Wamalwa', 'Military Personnel (Bahrain)', 'Legislature (Argentina)', 'City Mayor (South Africa)', 'Iraq', 'Businessperson (Italy)']"
48,Mohammad Javad Zarif,Consult,Catherine Ashton,2014-01-26,"['Catherine Ashton', 'Court Judge (Nigeria)', 'Abdul Aziz', 'Head of Government (Qatar)', 'Criminal (Tanzania)', 'Information Ministry (India)', 'Mohammad Javad Zarif', 'Israeli Defense Forces', 'Toomas Hendrik Ilves', 'Romania']"
49,Police (Australia),"Return, release person(s)",Citizen (Australia),2014-12-30,"['Citizen (Australia)', 'Member of Parliament (Germany)', 'Dmitry Anatolyevich Medvedev', 'Police (Australia)', 'Lawyer/Attorney (United States)', 'Public Prosecutor (Greece)', 'Shahin Mustafayev', 'Trade Union Congress', 'Anandiben Patel', 'Colombia']"
50,Ashraf Ghani Ahmadzai,Consult,Abdullah Abdullah,2014-09-22,"['Abdullah Abdullah', 'Defense / Security Ministry (Nigeria)', 'Member of Parliament (Russia)', 'Togo', 'Chief Court Judge (Malaysia)', 'Progressive Movement', 'Court Judge (Yemen)', 'Umar al Bashir', 'Ashraf Ghani Ahmadzai', 'Trade Union Congress']"
51,Militant (Nigeria),Use unconventional violence,Citizen (Nigeria),2014-02-28,"['Citizen (Nigeria)', 'Political Parties (Haiti)', 'Government (Pakistan)', 'Arseniy Yatsenyuk', 'Citizen (South Korea)', 'Herve Ladsous', 'Militant (Nigeria)', 'Men (Tajikistan)', 'Ministry (Tunisia)', 'Mohammad Javad Zarif']"
52,Citizen (Malaysia),Accuse,Malaysia,2014-12-27,"['Head of Government (Brazil)', 'Citizen (India)', 'Abdullah Gül', 'John Kerry', 'Business (Russia)', 'Manuel Nunes Júnior', 'Farm Worker (Thailand)', 'Military Personnel (Thailand)', 'Citizen (Malaysia)', 'Government (Germany)']"
53,South Korea,Make statement,North Korea,2014-07-02,"['Mahinda Rajapaksa', 'North Korea', 'Interfax', 'Villager (India)', 'Member of Parliament (India)', 'Tarun Gogoi', 'Other Authorities / Officials (China)', 'Congo', 'South Korea', 'Sindh High Court']"
54,Military Personnel - Special (Afghanistan),"Arrest, detain, or charge with legal action",Haqqani Network,2014-11-17,"['Christian (United States)', 'Vietnam', 'Central Intelligence Agency', 'Volodymyr Konstantynov', 'Defense / Security Ministry (Nigeria)', 'The Standard', 'John Bruton', 'Citizen (Yemen)', 'Public Prosecutor (Bangladesh)', 'Military Personnel - Special (Afghanistan)']"
55,Nguyen Phu Trong,Make statement,Head of Government (Cuba),2014-09-17,"['National Anti-Corruption Commission (Thailand)', 'Police (Sudan)', 'Jeff Seeney', 'High Commission for Refugees', 'Mike Pence', '""Citizen (Cote d\\\'Ivoire)""', 'Government (United States)', 'Member of the Judiciary (North Korea)', 'Nguyen Phu Trong', 'Interfax']"
56,Cho Tai-young,Make a visit,Japan,2014-09-30,"['Japan', 'Fumio Kishida', 'Mohamed Ould Abdel Aziz', 'Police (Burundi)', 'Citizen (India)', 'Governor (India)', 'Main Opposition (Turkey)', 'Public Prosecutor (Greece)', 'Cho Tai-young', 'Kenneth Roth']"
57,Benjamin Netanyahu,Engage in negotiation,Barack Obama,2014-10-01,"['Barack Obama', 'Citizen (Yemen)', 'Business (Poland)', 'Benjamin Netanyahu', 'Ministry (Liberia)', 'Ivan Gasparovic', 'Morgan Tsvangirai', 'Head of Government (Mexico)', 'Medical Personnel (India)', 'Member of Parliament (Germany)']"
58,Mohammad Javad Zarif,Consult,Catherine Ashton,2014-03-10,"['Catherine Ashton', 'Court Judge (Nigeria)', 'Abdul Aziz', 'Head of Government (Qatar)', 'Criminal (Tanzania)', 'Information Ministry (India)', 'Mohammad Javad Zarif', 'Israeli Defense Forces', 'Toomas Hendrik Ilves', 'Romania']"
59,Police (Israel),"Arrest, detain, or charge with legal action",Criminal (Israel),2014-11-25,"['Angela Merkel', 'Ng Eng Hen', 'Ram Gopal Yadav', 'New Zealand', 'European Parliament', 'Police (Israel)', 'Morgan Tsvangirai', 'Head of Government (Mongolia)', 'Government (Sweden)', 'High Ranking Military Personnel (United Kingdom)']"
60,Police (Australia),Investigate,Women (Australia),2014-06-16,"['Foreign Affairs (Israel)', 'Andrej Kiska', 'Micky Rosenfeld', 'Arab Israelis', 'Police (Australia)', 'Dino Melaye', 'Women (Australia)', 'Greenpeace', 'Government (Kenya)', '""Peter O\\\'Neill""']"
61,Government (Kenya),Express intent to engage in diplomatic cooperation (such as policy support),Citizen (Kenya),2014-11-02,"['Majid Takht Ravanchi', 'Government (United States)', 'Abdullah Gül', 'Gabriel Torwua Suswam', 'Militant (Yemen)', 'Government (Kenya)', 'Citizen (Kenya)', 'Interfax', 'Andrej Kiska', 'Other Authorities / Officials (Lebanon)']"
62,China,Consult,South Korea,2014-06-30,"['South Korea', 'Viktor Orban', 'Police (South Africa)', 'Greenpeace', 'City Mayor (Chile)', 'China', 'Citizen (Kenya)', 'International Court of Justice', 'Interfax', 'Citizen (Bangladesh)']"
63,Boko Haram,Use conventional military force,Indigenous People (Nigeria),2014-08-15,"['Vietnam', 'Mexico', 'Hassan Fadlallah', 'Citizen (Nigeria)', 'Azubuike Ihejirika', 'Citizen (Bangladesh)', 'Military Personnel (India)', 'Environment Department/Ministry (Jordan)', 'Boko Haram', 'Kober prison']"
64,Xi Jinping,Consult,Barack Obama,2014-06-06,"['Barack Obama', 'Trade Union Congress', 'Sheikh Hamad bin Isa al Khalifah', 'Citizen (Brazil)', 'Isaias Afewerki', 'Xi Jinping', 'Head of Government (China)', 'Ministry (Venezuela)', 'Ministry (Egypt)', 'Massoud Barzani']"
65,United Arab Emirates,Reduce or break diplomatic relations,Qatar,2014-03-10,"['Justice and Development Party', 'Qatar', 'Government (Palestinian Territory', 'Occupied)', 'Kazakhstan', 'Aladdin Boroujerdi', 'Children (Zimbabwe)', 'Murtala Nyako', 'United Arab Emirates', 'Ethnic Group (Afghanistan)', 'Men (Mexico)']"
66,Head of Government (Afghanistan),Express intent to meet or negotiate,China,2014-05-18,"['China', 'Colombia', 'Togo', 'Kuwait', 'Bank (Albania)', 'Dinka', 'Head of Government (Poland)', 'The Standard', 'Head of Government (Afghanistan)', 'Thailand']"
67,Imran Khan,Make statement,Tahirul Qadri,2014-08-19,"['Doctors Without Borders', 'Lawmaker (Russia)', 'Foreign Affairs (Czech Republic)', 'Citizen (Greece)', 'Clergy (Nigeria)', 'Imran Khan', 'Government Official (Egypt)', 'Military (Russia)', 'North Atlantic Treaty Organization', 'Sadayuki Sakakibara']"
68,Police (Israel),Use conventional military force,"Children (Palestinian Territory, Occupied)",2014-03-17,"['Benjamin Netanyahu', 'Lawyer/Attorney (Zambia)', 'Progressive Party (Nigeria)', '""Uganda People\\\'s Defence Force""', 'Foreign Affairs (Czech Republic)', 'Hamas', 'Mevlut Cavusoglu', 'Ireland', 'Police (Israel)', 'Party Member (Zambia)']"
69,Philippines,"Arrest, detain, or charge with legal action",Criminal (Philippines),2014-12-13,"['Criminal (Philippines)', 'Alexander Lukashevich', 'Angola', 'Vietnam', 'Marziyeh Afkham', 'Jeff Seeney', 'Men (Tajikistan)', 'Philippines', 'Oommen Chandy', 'Ma Ying Jeou']"
70,Xi Jinping,Make a visit,South Korea,2014-05-19,"['South Korea', 'Myanmar', 'Foreign Affairs (Italy)', 'Independent Corrupt Practices Commission', 'Ministry (Tunisia)', 'Inter-Services Intelligence', 'Xi Jinping', 'Lawmaker (Russia)', 'Mary Robinson', 'Amnesty International']"
71,Jakaya Mrisho Kikwete,Make statement,Tanzania,2014-09-12,"['Scientist (China)', 'Ng Eng Hen', 'Cleric (Iraq)', 'Business (Iran)', 'Kidnapper (Indonesia)', 'Vietnam', 'Other Authorities / Officials (United States)', 'Head of Government (Brazil)', 'Jakaya Mrisho Kikwete', 'Alexander Lukashevich']"
72,John Kerry,Meet at a 'third' location,Sergey Viktorovich Lavrov,2014-10-14,"['Foreign Affairs (United States)', 'Antonis Samaras', 'Massoud Barzani', 'Treasury/Finance Ministry (Bangladesh)', 'Greenpeace', 'Citizen (Brazil)', 'Legislature (South Africa)', 'People Associated with the Opposition (Sri Lanka)', 'John Kerry', 'Alexander Lukashevich']"
73,Protester (Thailand),"Protest violently, riot",Thailand,2014-01-27,"['Malaysia', 'Citizen (Thailand)', 'Gabriel Torwua Suswam', 'City Mayor (Philippines)', 'Business (Iran)', 'Julie Bishop', 'South Korea', 'Media (China)', 'Legislature (Italy)', 'Protester (Thailand)']"
74,Economic Cooperation Organization,Consult,Mahmoud Ahmadinejad,2014-02-07,"['Citizen (Sudan)', 'Media (Zimbabwe)', 'Agence France-Presse', 'Economic Cooperation Organization', 'Ministry (France)', 'Mahmoud Ahmadinejad', 'Government (Argentina)', 'Thaksin Shinawatra', 'Head of Government (South Korea)', 'Enrico Letta']"
75,Japan,Engage in negotiation,North Korea,2014-07-19,"['North Korea', 'Terrorist (Syria)', 'Philip Hammond', 'Agence France-Presse', 'Treasury/Finance Ministry (Bangladesh)', 'South Africa', 'Lawmaker (Indonesia)', 'Sudan', 'Japan', 'New Zealand']"
76,China,Express intent to engage in diplomatic cooperation (such as policy support),Iran,2014-05-07,"['Augustine Alegeh', 'Iran', 'Criminal (Brazil)', 'John Kerry', 'Abdel Fattah Al-Sisi', 'Thailand', 'China', 'Head of Government (Germany)', 'Mohammad Javad Zarif', 'Tamar Beruchashvili']"
77,Citizen (Malaysia),Accuse,Malaysia,2014-04-30,"['Head of Government (Brazil)', 'Citizen (India)', 'Abdullah Gül', 'John Kerry', 'Business (Russia)', 'Manuel Nunes Júnior', 'Farm Worker (Thailand)', 'Military Personnel (Thailand)', 'Citizen (Malaysia)', 'Government (Germany)']"
78,Klaus Johannis,Appeal for diplomatic cooperation (such as policy support),Victor Ponta,2014-06-17,"['Nigerian Navy', 'Mahinda Rajapaksa', 'Macky Sall', 'Citizen (Kenya)', 'Abhisit Vejjajiva', 'Chief of Staff (French Air Force)', 'Military Personnel (South Korea)', 'Klaus Johannis', 'National Unity Party (Somalia)', 'Religion (India)']"
79,Thief (India),Use unconventional violence,Citizen (India),2014-09-17,"['Citizen (India)', 'United Russia', 'Religion (India)', 'Criminal (Italy)', 'Thief (India)', 'Combatant (Islamic State of Iraq and the Levant)', 'Military Personnel (Canada)', 'Xi Jinping', 'Prem Tinsulanonda', 'Dmitry Anatolyevich Medvedev']"
80,Media Personnel (Argentina),Make statement,Criminal (Argentina),2014-12-08,"['Zakir Hasanov', 'Police (Ethiopia)', 'Jakaya Mrisho Kikwete', 'Likud', 'Media Personnel (Argentina)', 'Daniel Mitov', 'Tamar Beruchashvili', 'Al Jazeera', 'Citizen (Germany)', 'Medical Personnel (Jordan)']"
81,Japan,Engage in negotiation,South Korea,2014-08-25,"['South Korea', 'South Sudan', 'Ashraf Ghani Ahmadzai', 'Japan', 'Algirdas Butkevičius', 'Josh Earnest', 'Kyoto University', 'Fumio Kishida', 'Afghanistan', 'Jonathan Greenert']"
82,Japan,Express intent to engage in diplomatic cooperation (such as policy support),Thailand,2014-09-26,"['Media (Africa)', 'Legislature (Italy)', 'Kevin Rudd', 'Military Personnel (Thailand)', 'Agence France-Presse', 'Japan', 'Foreign Affairs (Ukraine)', 'Julie Bishop', 'Armenia', 'Akja Nuberdiyeva']"
83,China,Consult,South Korea,2014-06-17,"['South Korea', 'Viktor Orban', 'Police (South Africa)', 'Greenpeace', 'City Mayor (Chile)', 'China', 'Citizen (Kenya)', 'International Court of Justice', 'Interfax', 'Citizen (Bangladesh)']"
84,Ibrahim Hassan Dankwambo,Accuse,Danjuma Goje,2014-04-21,"['John Paul II', 'Carrie Lam', 'Businessperson (Italy)', 'Other Authorities / Officials (Philippines)', 'Military Advisor (Thailand)', 'Tanzania', 'Ibrahim Hassan Dankwambo', 'Arseniy Yatsenyuk', 'Pdea', 'Undersecretary (United States)']"
85,China,Make pessimistic comment,Japan,2014-05-15,"['Japan', 'Abdul Aziz', 'Member of Parliament (Germany)', 'Cambodia', 'Military (Argentina)', 'Foreign Affairs (United States)', 'China', 'Ivan Gasparovic', 'Ministry (Liberia)', 'Antonis Samaras']"
86,Head of Government (Bahrain),Consult,Labor and Employment Ministry (Bahrain),2014-02-12,"['Organized Crime (Holy See (Vatican City State))', 'Indigenous People (Nigeria)', 'Citizen (Australia)', 'Liyel Imoke', 'Greenpeace', 'Colombia', 'Company - Owner or Operator (Italy)', 'International Monetary Fund', 'Head of Government (Bahrain)', 'Shahin Mustafayev']"
