,e1,relation,e2,date,predictions
38,Military Personnel (Yemen),Make statement,Militant (Yemen),2014-06-02,"['International Monetary Fund', 'Government (Syria)', 'Shahin Mustafayev', 'Men (Argentina)', 'Rana Sanaullah', 'Abdel Fattah Al-Sisi', 'Head of Government (Chile)', 'Morocco', 'Militant (Yemen)', 'France']"
39,Iraq,Host a visit,Nuri al-Maliki,2014-04-17,"['Businessperson (United Kingdom)', 'Ministry (Liberia)', 'Congress of South African Trade Unions', 'Tajikistan', 'Company - Owner or Operator (Nigeria)', 'Nuri al-Maliki', 'Akja Nuberdiyeva', 'Hezbollah', 'Other Authorities / Officials (Guinea)', 'Military Personnel - Special (Mexico)']"
40,South Korea,Host a visit,Kim Jong-Un,2014-06-20,"['Police (Sudan)', 'Ma Ying Jeou', 'Morocco', 'Sergey Kuzhugetovich Shoygu', 'Kim Jong-Un', 'Congress of South African Trade Unions', 'Businessperson (Mauritania)', 'South Sudan', 'Government (Sudan)', 'Japan Self-Defense Forces']"
41,Benjamin Netanyahu,Criticize or denounce,Hamas,2014-09-30,"['New Zealand', 'János Áder', 'Edgars Rinkevics', 'Human Rights Watch', 'Foreign Affairs (Singapore)', 'Qatar', 'Police (Indonesia)', 'Head of Government (Palestinian Territory', 'Occupied)', 'Businessperson (Italy)', 'Associated Press']"
42,Central Intelligence Agency,Attempt to assassinate,Kim Jong-Un,2014-12-03,"['Police (Bulgaria)', 'Citizen (Czech Republic)', 'Men (India)', 'Interfax', 'Nuri al-Maliki', 'Philippines', 'Citizen (Tanzania)', 'Kim Jong-Un', 'Military Personnel (Bahrain)', 'Holy See']"
43,South Korea,Host a visit,Malaysia,2014-04-26,"['Office of the United Nations High Commissioner for Human Rights', 'Government Official (Japan)', 'Head of Government (South Korea)', 'Salvador Sánchez Cerén', 'Miguel Macedo', 'Armenia', 'People Associated with the Opposition (Bahrain)', 'New Zealand', 'Shura Council', 'Rafiq Hariri']"
44,Militant (Nigeria),Criticize or denounce,Government (Nigeria),2014-12-23,"['Labor Party (New Zealand)', 'Secretariat (Nigeria)', 'Government (Nigeria)', 'Majid Takht Ravanchi', 'Military (China)', 'The Hague', 'Guy Ryder', 'Chief of Staff (Tunisia)', 'Djibouti', 'People Associated with the Opposition (Mauritania)']"
45,Muhammadu Buhari,Make statement,Murtala Nyako,2014-11-28,"['Japan Self-Defense Forces', 'Ma Ying Jeou', 'Ivan Gasparovic', 'Murtala Nyako', 'Ashraf Ghani Ahmadzai', 'Police (Israel)', 'Pervez Musharraf', 'Alexis Tsipras', 'Naval Base (India)', 'Serbia']"
46,Police (Australia),Accuse,Criminal (Australia),2014-10-22,"['Iran Khodro Company', 'Religion (India)', 'Middle East', 'Togo', 'Military Personnel (Canada)', 'Member of Parliament (Germany)', 'Tamar Beruchashvili', 'Men (Venezuela)', 'Association of Southeast Asian Nations', 'South Africa']"
47,Police (Australia),"Return, release person(s)",Citizen (Australia),2014-03-26,"['Citizen (Australia)', 'Member of Parliament (Germany)', 'Dmitry Anatolyevich Medvedev', 'Police (Australia)', 'Lawyer/Attorney (United States)', 'Public Prosecutor (Greece)', 'Shahin Mustafayev', 'Trade Union Congress', 'Anandiben Patel', 'Colombia']"
48,Philip Hammond,Make statement,Iraq,2014-08-11,"['Colombia', 'Aam Aadmi Party', 'Victor Ponta', 'Iraq', 'Protester (Thailand)', 'Djibouti', 'Macky Sall', 'Mamnoon Hussain', 'Liyel Imoke', 'Militant (Turkey)']"
49,Military Personnel (Nigeria),Make statement,Government (Nigeria),2014-05-13,"['Benjamin Netanyahu', 'National Council for Peace and Order of Thailand', 'Citizen (United Kingdom)', 'Military Personnel (Bahrain)', 'Ashraf Ghani Ahmadzai', 'Citizen (Bangladesh)', 'Intelligence (United States)', 'Lawyer/Attorney (Philippines)', 'Foreign Affairs (Venezuela)', 'People Associated with the Opposition (Ukraine)']"
50,Kazakhstan,Consult,Afghanistan,2014-04-11,"['Afghanistan', 'Election Commission (India)', 'Shura Council', 'Xi Jinping', 'Citizen (Yemen)', 'Head of Government (Germany)', 'Energy Department/Ministry (Iran)', 'Government Official (Japan)', 'Ministry (Norfolk Island)', 'Arseniy Yatsenyuk']"
51,Nigerian Governors Forum,Make an appeal or request,Citizen (Nigeria),2014-01-20,"['Citizen (Nigeria)', 'Fumio Kishida', 'Afghanistan', 'Lulzim Basha', 'Nigerian Navy', 'Government (Sweden)', 'Citizen (Turkey)', 'Carrie Lam', 'Head of Government (Pakistan)', 'Umar al Bashir']"
52,Protester (Hong Kong),Express intent to meet or negotiate,China,2014-11-13,"['China', 'Colombia', 'Togo', 'Kuwait', 'Bank (Albania)', 'Dinka', 'Head of Government (Poland)', 'The Standard', 'Thailand', 'People Associated with the Opposition (Mauritania)']"
53,Ethiopia,Host a visit,Japan,2014-09-03,"['Tarun Gogoi', 'Congress (United States)', 'Medical Personnel (Jordan)', 'Airline (Canada)', 'Special Rapporteurs of the United Nations', 'National Anti-Corruption Commission (Thailand)', 'Ivan Gasparovic', 'Legislature (Czech Republic)', 'Japan', 'Barack Obama']"
54,Solomon Public Employees Union,Make statement,"Government (Palestinian Territory, Occupied)",2014-07-22,"['Military Personnel (Uganda)', 'Treasury/Finance Ministry (Bangladesh)', 'Ministry (Bosnia and Herzegovina)', 'International Monetary Fund', 'Foreign Affairs (Macedonia)', 'Government (Palestinian Territory', 'Occupied)', 'Presidential Press Service (Nigeria)', 'Catherine Ashton', 'Dmitry Anatolyevich Medvedev', 'Government (Argentina)']"
55,Ministry (Egypt),Make statement,Police (Egypt),2014-03-31,"['Citizen (Tanzania)', 'Legislature (Czech Republic)', 'Canada', 'Bahrain', 'Tajikistan', 'Ng Eng Hen', 'Israeli Defense Forces', 'Government (Namibia)', 'Environment Department/Ministry (Jordan)', 'Portugal']"
56,Fumio Kishida,Make statement,Japan,2014-09-23,"['Gjorge Ivanov', 'Japan', 'Other Authorities / Officials (Russia)', 'Kyoto University', 'Lawyer/Attorney (Argentina)', 'François Hollande', 'Cabinet / Council of Ministers / Advisors (Angola)', 'Milos Zeman', 'Canada', 'Ministry (Liberia)']"
57,William Kabogo,Appeal for diplomatic cooperation (such as policy support),Citizen (Kenya),2014-11-10,"['Citizen (Kenya)', 'Royal Administration (Jordan)', '""Awami (People\'s) League""', 'Head of Government (Kosovo)', 'Detainee (Rwanda)', 'Gabriel Torwua Suswam', 'Businessperson (Italy)', 'Foreign Affairs (Venezuela)', 'Mexico', 'Legislature (Libya)']"
58,Guinea,Express intent to meet or negotiate,Jose Mario Vaz,2014-06-02,"['Nasser Judeh', 'Military Personnel (Mali)', 'Military Personnel (Paraguay)', 'Angola', 'Abdel Fattah Al-Sisi', 'Frank Bainimarama', 'Human Rights Watch', 'Government (United States)', 'Barnaba Marial Benjamin', 'Men (Pakistan)']"
59,Election Commission (India),Make an appeal or request,Citizen (India),2014-04-21,"['Citizen (India)', 'Religion (India)', 'Cabinet / Council of Ministers / Advisors (Senegal)', 'Tajikistan', 'Police (Burundi)', 'Pavlo Klimkin', 'Associated Press', 'Hamas', 'Head of Government (Egypt)', 'Business (Bulgaria)']"
60,Other Authorities / Officials (Nigeria),Make statement,Government (Nigeria),2014-11-12,"['Benjamin Netanyahu', 'National Council for Peace and Order of Thailand', 'Citizen (United Kingdom)', 'Military Personnel (Bahrain)', 'Ashraf Ghani Ahmadzai', 'Citizen (Bangladesh)', 'Intelligence (United States)', 'Lawyer/Attorney (Philippines)', 'Foreign Affairs (Venezuela)', 'People Associated with the Opposition (Ukraine)']"
61,Valdis Dombrovskis,Decline comment,Party Member (Latvia),2014-05-26,"['Greenpeace', 'Government (Sweden)', 'Ministry (Malaysia)', 'Government (United States)', 'Media Personnel (Iran)', 'Terrorist Leader (Syria)', 'Igor Ivanovich Shuvalov', 'Agence France-Presse', 'Director General (Rwanda)', 'Citizen (Malaysia)']"
62,Citizen (Nigeria),Make an appeal or request,Government (Nigeria),2014-05-08,"['Government (Nigeria)', 'Vojislav Šešelj', 'Member of Parliament (Sri Lanka)', 'Presidential Press Service (Nigeria)', 'Ministry (Tunisia)', 'Interfax', 'Mikhail Margelov', 'Head of Government (Ukraine)', 'Kyoto University', 'Public Prosecutor (Greece)']"
63,Men (Philippines),"Conduct suicide, car, or other non-military bombing",Philippines,2014-05-05,"['Andrej Kiska', 'Democratic Forces for the Liberation of Rwanda', 'Foreign Affairs (India)', 'Business (Russia)', 'All India Sikh Students Federation', 'Philippines', 'Ministry (Liberia)', 'Kim Jong-Un', 'Kuwait', 'Ahmad Fatfat']"
64,Evangelos Venizelos,Accuse,Main Opposition (Greece),2014-09-07,"['Sikh (India)', 'Ireland', 'János Áder', 'Inter-Services Intelligence', 'Member of Parliament (India)', 'Eugene Wamalwa', 'Enrico Letta', 'Ministry (Venezuela)', 'Head of Government (Egypt)', 'Azubuike Ihejirika']"
65,Fumio Kishida,Make statement,Japan,2014-07-07,"['Gjorge Ivanov', 'Japan', 'Other Authorities / Officials (Russia)', 'Kyoto University', 'Lawyer/Attorney (Argentina)', 'François Hollande', 'Cabinet / Council of Ministers / Advisors (Angola)', 'Milos Zeman', 'Canada', 'Ministry (Liberia)']"
66,Aladdin Boroujerdi,Reject,Iran,2014-02-01,"['Iran', 'Media (Bahrain)', 'Congress of South African Trade Unions', 'Government Official (Japan)', 'Abdullah Gül', '""Uganda People\'s Defence Force""', 'Interfax', 'Intelligence (United States)', 'Ijaw Youth Council', 'Armenia']"
67,Reza Najafi,Make statement,Iran,2014-10-08,"['Iran', 'Head of Government (South Korea)', 'Government Official (Japan)', 'Court Judge (Kenya)', 'Citizen (South Korea)', 'Media (Saudi Arabia)', 'Nasser Judeh', 'Paul Kagame', 'Ashraf Ghani Ahmadzai', 'Head of Government (China)']"
68,Police (Jamaica),Investigate,Armed Gang (Jamaica),2014-02-15,"['Refugee (Chad)', 'Citizen (United Kingdom)', 'Other Authorities / Officials (Mauritania)', 'Sheikh Hasina Wajed', 'Military (Thailand)', 'National Council for Peace and Order of Thailand', 'International Monetary Fund', 'Head of Government (Greece)', 'City Mayor (South Africa)', 'Other Authorities / Officials (Lebanon)']"
69,Ministry of Communication (Mauritania),Make an appeal or request,Citizen (Mauritania),2014-09-10,"['Keriako Tobiko', 'Mahinda Rajapaksa', 'Tajikistan', 'Simbarashe Mumbengegwi', 'Dmitry Anatolyevich Medvedev', 'Government (Argentina)', 'Organized Crime (Holy See (Vatican City State))', 'Lawyer/Attorney (South Korea)', 'Citizen (Uganda)', 'Raúl Castro']"
70,Ministry (South Africa),Make statement,South Africa,2014-12-19,"['South Africa', 'Agence France-Presse', 'Citizen (Brazil)', 'Head of Government (Ukraine)', 'Poland', 'Food and Agriculture Organization', 'Citizen (Zambia)', 'Treasury/Finance Ministry (Thailand)', 'Citizen (India)', 'Inter-Services Intelligence']"
71,China,Criticize or denounce,Japan,2014-09-02,"['Japan', 'Abdul Aziz', 'China', 'Prem Tinsulanonda', 'Royal Thai Police', 'Serbia', 'Military Academy (North Korea)', 'Government Official (Japan)', 'South Korea', 'North Korea']"
72,Governor (Thailand),Consult,Gen Prayut Chan-o-cha,2014-09-15,"['Gen Prayut Chan-o-cha', 'Citizen (Turkey)', 'Ministry (Malaysia)', 'Middle East', 'Police (Burundi)', 'Aristide Sokambi', 'Muhammadu Buhari', 'Mikhail Margelov', 'Court Judge (Nigeria)', 'European Parliament']"
73,Uhuru Muigai Kenyatta,Demand,Citizen (Kenya),2014-05-02,"['Citizen (Kenya)', 'Armed Rebel (Ukraine)', 'Tarun Gogoi', 'Mike Pence', 'Defense / Security Ministry (Ukraine)', 'Head of Government (Ukraine)', 'Milos Zeman', 'Andrej Kiska', 'Nguyen Phu Trong', 'Military (Middle East)']"
74,Armed Gang (Al Qaeda),Carry out suicide bombing,Citizen (Yemen),2014-10-11,"['Treasury/Finance Ministry (Thailand)', 'Armed Rebel (Ukraine)', 'Military (Turkey)', 'Justice and Development Party', 'Myanmar', 'Democratic Forces for the Liberation of Rwanda', 'Constitutional Court (Albania)', 'Fire Brigade (Australia)', 'Nasser Judeh', 'Businessperson (United Kingdom)']"
75,Terrorist (Hamas),Praise or endorse,"Government (Palestinian Territory, Occupied)",2014-04-26,"['Government (Palestinian Territory', 'Occupied)', 'Business (Poland)', 'Arseniy Yatsenyuk', 'Paquito Ochoa', 'Jr.', 'Media (Kenya)', 'Angola', 'National Anti-Corruption Commission (Thailand)', 'Conservative Party (United Kingdom)', 'Raheel Sharif', 'Ireland']"
76,Ministry (Kuwait),Consult,Sabah Khaled Al-Hamad Al-Sabah,2014-11-09,"['Ryoo Kihl-jae', 'Sabah Khaled Al-Hamad Al-Sabah', 'Cameroon', 'Peter Nyombi', 'Congress (United States)', 'Foreign Affairs (Venezuela)', 'Doctors Without Borders', 'Member of Parliament (India)', 'Ombudsman (Georgia)', 'Government (Argentina)']"
77,Tahirul Qadri,Demand change in leadership,Head of Government (Pakistan),2014-08-27,"['""Citizen (Cote d\'Ivoire)""', 'United Arab Emirates', 'Congress of South African Trade Unions', 'Presidential Candidate (Argentina)', 'Gambia', 'Detainee (Rwanda)', 'Defense / Security Ministry (Nigeria)', 'Women (Israel)', 'Chuck Hagel', 'Al Jazeera']"
78,Police (Tanzania),Make statement,Criminal (Tanzania),2014-08-25,"['Chuck Hagel', 'Alexander Lukashevich', 'Military (El Salvador)', 'Ministry (South Africa)', 'Terrorist Leader (Syria)', 'Men (United Kingdom)', 'Kyoto University', 'Kisii', 'Thief (India)', 'Citizen (International)']"
79,Irakli Alasania,Make statement,John Kerry,2014-02-11,"['John Kerry', 'Party Member (Czech Republic)', 'International Government Organizations', 'Antonis Samaras', 'Sadayuki Sakakibara', 'Nicola Sturgeon', 'Angola', 'Josh Earnest', 'Xi Jinping', 'Citizen (Indonesia)']"
80,Citizen (Nigeria),Express intent to engage in diplomatic cooperation (such as policy support),Head of Government (Nigeria),2014-07-21,"['Ijaw Youth Council', 'North Atlantic Treaty Organization', 'Business (Uruguay)', 'Ministry (Nigeria)', 'Treasury/Finance Ministry (Thailand)', 'Business (Georgia)', 'Michael Sata', 'Ministry (Venezuela)', 'Citizen (Thailand)', 'Other Authorities / Officials (Russia)']"
81,France,Host a visit,Xi Jinping,2014-03-25,"['Business (Russia)', 'City Mayor (Costa Rica)', 'Head of Government (Ukraine)', 'Xi Jinping', 'Military (Russia)', 'Moro Islamic Liberation Front', 'Tamar Beruchashvili', 'Combatant (Iraqi Kurds)', 'Federica Mogherini', 'Other Authorities / Officials (Russia)']"
82,Pervez Musharraf,Reject,Tahirul Qadri,2014-10-01,"['Military Personnel (Uganda)', 'Bank (Iran)', 'Oversight Court (Azerbaijan)', 'Employee (Malaysia)', 'All India Sikh Students Federation', 'Special Rapporteurs of the United Nations', 'Shahin Mustafayev', 'Tahirul Qadri', 'National Council for Peace and Order of Thailand', 'Military Personnel (Bahrain)']"
83,Hannes Swoboda,Engage in negotiation,Fotis Kouvelis,2014-03-07,"['Fotis Kouvelis', 'Businessperson (United Kingdom)', 'Djibouti', 'Ministry (Iran)', 'Ministry (Nigeria)', 'Detainee (Lebanon)', 'Government (Sudan)', 'Foreign Affairs (United States)', 'Toomas Hendrik Ilves', 'Media (Swaziland)']"
