,e1,relation,e2,date,predictions
10,Police (Egypt),Use conventional military force,Protester (Egypt),2014-02-22,"['Police (Egypt)', 'Health Ministry (Egypt)', 'François Hollande', 'Labor and Employment Ministry (Egypt)', 'Defense / Security Ministry (Russia)', 'Algirdas Butkevičius', 'Robert Menendez', 'Independent Corrupt Practices Commission', 'Ombudsman (Georgia)', 'Militant (Malaysia)']"
11,Sergio Massa,Consult,Rudy Giuliani,2014-03-27,"['Nabih Berri', 'Zhang Dejiang', 'Sergio Massa', 'Businessperson (Mauritania)', 'Oleh Lyashko', 'Abdullah Gül', 'Party Member (Bolivia)', '""Awami (People\\\'s) League""', 'Ahmadu Giade', 'Lawmaker (Indonesia)']"
12,China,"Arrest, detain, or charge with legal action",Women (China),2014-11-16,"['China', 'Alexander Lukashevich', 'Police (Egypt)', 'Majid Takht Ravanchi', 'Head of Government (Pakistan)', 'Mouloud Hamrouche', 'Arthit Ourairat', 'Police (Yemen)', 'Police (Indonesia)', 'Treasury/Finance Ministry (Saudi Arabia)']"
13,Lawyer/Attorney (United States),Make statement,Juan Carlos Romero,2014-04-17,"['Lawyer/Attorney (United States)', 'Daniela Bobeva', 'Office of the United Nations High Commissioner for Human Rights', 'Hamdeen Sabahi', 'Court Judge (Yemen)', 'Member of Parliament (Germany)', 'Member of Legislative (Govt) (Liberia)', 'Chief of Staff (Iraq)', 'Government Official (Thailand)', 'Governor (Democratic Republic of Congo)']"
14,Daily Trust,Consult,Pogu Bitrus,2014-06-16,"['Daily Trust', 'Abdelilah Benkirane', 'Kidnapper (Argentina)', 'Political Parties (Indonesia)', 'Northern Ireland', 'Head of Government (Afghanistan)', 'Bolivia', 'Foreign Affairs (Hungary)', 'Daniel Mitov', 'Military (Mozambique)']"
15,Police (Sierra Leone),Make statement,Military Personnel (Sierra Leone),2014-02-28,"['Police (Sierra Leone)', 'Kim Jong-Un', 'Arseniy Yatsenyuk', 'Secretariat (Nigeria)', 'Food and Agriculture Organization', 'Citizen (Kenya)', 'Student Dissident (Hong Kong)', 'Joseph Kabila', 'Constitutional Court (Romania)', 'Pinarayi Vijayan']"
16,Police (Australia),Make an appeal or request,Citizen (Australia),2014-06-05,"['Citizen (Australia)', 'Police (Australia)', '""Citizen (Cote d\\\'Ivoire)""', 'Men (Argentina)', 'Opposition Supporter (Pakistan)', 'Medical Personnel (India)', 'Amnesty International', 'Prayuth Chan-ocha', 'Citizen (United Kingdom)', 'Julie Bishop']"
17,Barack Obama,Make a visit,Japan,2014-03-12,"['Japan', 'Barack Obama', 'Fumio Kishida', 'Mohamed Ould Abdel Aziz', 'Police (Burundi)', 'Citizen (India)', 'Governor (India)', 'Main Opposition (Turkey)', 'South Korea', 'Iran']"
18,Health Ministry (Iraq),Make statement,Healthcare Facility (Iraq),2014-02-18,"['Bolivia', 'Health Ministry (Iraq)', 'Morocco', 'Human Rights Watch', 'Chief of Staff (French Air Force)', 'Party Member (Bangladesh)', 'Robert Menendez', 'Head of Government (South Korea)', 'Finance / Economy / Commerce / Trade Ministry (Canada)', 'Tzipi Livni']"
19,Police (Australia),"Arrest, detain, or charge with legal action",Citizen (Australia),2014-12-14,"['Police (Australia)', 'Citizen (Australia)', 'China', 'Police (Philippines)', 'Malaysia', 'Military (Lebanon)', 'New Zealand', 'Thailand', 'South Africa', 'Philippines']"
20,Israeli Defense Forces,Use conventional military force,"Children (Palestinian Territory, Occupied)",2014-10-25,"['Israeli Defense Forces', 'Benjamin Netanyahu', 'Lawyer/Attorney (Zambia)', 'Progressive Party (Nigeria)', '""Uganda People\\\'s Defence Force""', 'Foreign Affairs (Czech Republic)', 'Hamas', 'Mevlut Cavusoglu', 'Ireland', 'Ministry (Iran)']"
21,Aam Aadmi Party,Express intent to provide humanitarian aid,Citizen (India),2014-01-16,"['Citizen (India)', 'Aam Aadmi Party', 'Justice Department/Ministery (India)', 'Head of Government (India)', 'Election Commission (India)', 'Medical Personnel (India)', 'Central Reserve Police Force', 'Hemant Soren', 'Media (Zimbabwe)', 'Employee (India)']"
22,Japan,Make statement,North Korea,2014-07-04,"['Mahinda Rajapaksa', 'North Korea', 'Japan', 'South Korea', 'China', 'Fumio Kishida', 'UN Security Council', 'Cabinet / Council of Ministers / Advisors (United States)', 'Kim Jong-Un', 'Sergey Viktorovich Lavrov']"
23,Police (Australia),Investigate,Citizen (Australia),2014-05-06,"['Police (Australia)', 'Member of Parliament (Australia)', 'Women (Australia)', 'Citizen (Australia)', 'Police (Indonesia)', 'Lawyer/Attorney (Australia)', 'Police (United States)', 'Fire Brigade (Australia)', 'People Associated with the Opposition (Australia)', 'Businessperson (Australia)']"
24,Military Personnel - Special (Afghanistan),Use conventional military force,Militant (Taliban),2014-07-09,"['Military (Russia)', 'Combatant (Iraqi Kurds)', 'Military Personnel - Special (Afghanistan)', 'Dimitrios Avramopoulos', 'Barack Obama', 'Philippines', 'Afghanistan', 'Government (Pakistan)', 'Military (United Kingdom)', 'Afghan National Army']"
25,Xi Jinping,Make statement,China,2014-03-30,"['China', 'Citizen (Unidentified State Actor)', 'Xi Jinping', 'Raúl Castro', 'South Africa', 'Ivan Gasparovic', 'Medical Personnel (Jordan)', 'Party Member (Afghanistan)', 'Citizen (Yemen)', 'Emrullah Isler']"
26,North Korea,Use conventional military force,South Korea,2014-11-23,"['South Korea', 'North Korea', 'Bahrain', 'Colombia', 'Citizen (Namibia)', 'Human Rights Watch', 'Employee (India)', 'China', 'Combatant (Iraqi Kurds)', 'Military Personnel (Bahrain)']"
27,Military Personnel - Special (Afghanistan),"Arrest, detain, or charge with legal action",Armed Rebel (Afghanistan),2014-03-17,"['Military Personnel - Special (Afghanistan)', 'Head of Government (Brazil)', 'Information Ministry (India)', 'Naval (Bangladesh)', 'Konstantin Dolgov', 'Head of Government (Cyprus)', 'Thailand', 'Mohamed Ould Abdel Aziz', 'David Shear', 'European Central Bank']"
28,Armenia,Cooperate militarily,Separatist (Armenia),2014-10-27,"['Armenia', 'Guatemala', 'Heydar Aliyev', 'Ministry (Egypt)', 'Medical Personnel (Jordan)', 'Cheng Guoping', 'Mary Robinson', 'Ion Iliescu', 'Government (United States)', 'Monastery (China)']"
29,Protester (Ukraine),"Protest violently, riot",Police (Ukraine),2014-02-03,"['Foreign Affairs (United States)', 'Protester (Ukraine)', 'Detainee (Lebanon)', 'Democratic Forces for the Liberation of Rwanda', 'Citizen (Turkey)', 'Djoomart Otorbaev', 'Legislature (Argentina)', 'Party Member (Taiwan)', 'Michael Sata', 'Tajikistan']"
30,Prayuth Chan-ocha,Consult,Company - Owner or Operator (Thailand),2014-08-18,"['Giorgio Napolitano', 'János Áder', 'Prayuth Chan-ocha', 'Yemi Osinbajo', 'Party President (Turkey)', 'Company - Owner or Operator (Thailand)', 'Terrorist (Syria)', 'Treasury/Finance Ministry (Thailand)', 'Kidnapper (Indonesia)', 'Fiji']"
31,China,Make statement,Iran,2014-12-04,"['Iran', 'China', 'Head of Government (South Korea)', 'Government Official (Japan)', 'South Korea', 'Member of Legislative (Govt) (South Korea)', 'Angela Merkel', 'Qatar', 'Police (Australia)', 'Afghanistan']"
32,Police (Japan),Investigate,Men (Japan),2014-09-24,"['People Associated with the Opposition (Bahrain)', 'Indigenous People (Greece)', 'Police (Japan)', 'Education (Costa Rica)', '""Police (Cote d\\\'Ivoire)""', 'Activist (Syria)', 'Agence France-Presse', 'Afghanistan', 'Lawmaker (Indonesia)', 'Vincent C. Siew']"
33,Police (Japan),"Arrest, detain, or charge with legal action",Men (Japan),2014-04-30,"['Afghanistan', 'Police (Japan)', 'Treasury/Finance Ministry (Thailand)', 'UN Security Council', 'Military Academy (North Korea)', 'Ministry (Brazil)', 'Togo', 'Militant (Colombia)', 'Børge Brende', 'Sudan']"
34,Radoslaw Sikorski,Consult,Sergey Viktorovich Lavrov,2014-06-08,"['Sergey Viktorovich Lavrov', 'Radoslaw Sikorski', 'Indigenous People (Syria)', 'Medical Personnel (Jordan)', 'Citizen (United Kingdom)', 'Election Commission (India)', 'Alexander Stubb', 'Ministry (Bosnia and Herzegovina)', 'Head of Government (Qatar)', 'Party Member (Afghanistan)']"
35,Citizen (India),Criticize or denounce,Medical Personnel (India),2014-04-11,"['Tajikistan', 'Business (Uruguay)', 'Citizen (India)', 'Malawi', 'Medical Personnel (India)', 'Head of Government (Poland)', 'Business (Poland)', 'Member of Parliament (India)', 'Austria Press Agency', 'Military (Middle East)']"
36,Police (Indonesia),"Arrest, detain, or charge with legal action",Men (Indonesia),2014-02-12,"['Somsavat Lengsava', 'Police (Indonesia)', 'Other Authorities / Officials (Romania)', 'Afghanistan', 'Foreign Affairs (Czech Republic)', 'Malaysia', 'Police (Brunei)', 'Sharia Court (Indonesia)', 'Ministry (Norfolk Island)', 'Royal Administration (Spain)']"
37,Police (Malaysia),"Abduct, hijack, or take hostage",Citizen (Malaysia),2014-04-04,"['National Council for Peace and Order of Thailand', 'Police (Malaysia)', 'Inter-Services Intelligence', 'Citizen (Malaysia)', 'Colombia', 'Fotis Kouvelis', 'Government (South Africa)', 'Myanmar', 'Indigenous People (India)', 'John Kerry']"
38,Military Personnel - Special (Afghanistan),Use conventional military force,Militant (Taliban),2014-07-20,"['Military (Russia)', 'Combatant (Iraqi Kurds)', 'Military Personnel - Special (Afghanistan)', 'Dimitrios Avramopoulos', 'Barack Obama', 'Philippines', 'Afghanistan', 'Government (Pakistan)', 'Military (United Kingdom)', 'Afghan National Army']"
39,Police (Australia),Investigate,Citizen (Australia),2014-08-14,"['Police (Australia)', 'Member of Parliament (Australia)', 'Women (Australia)', 'Citizen (Australia)', 'Police (Indonesia)', 'Lawyer/Attorney (Australia)', 'Police (United States)', 'Fire Brigade (Australia)', 'People Associated with the Opposition (Australia)', 'Businessperson (Australia)']"
40,Government (South Africa),Criticize or denounce,China,2014-05-07,"['China', 'Government (South Africa)', 'Amnesty International', 'Progressive Party (Nigeria)', 'Afghanistan', 'Government Official (Japan)', 'Police (Egypt)', 'Mary Robinson', 'Foreign Affairs (Hungary)', 'South Africa']"
41,Nuri al-Maliki,Make an appeal or request,Legislature (Iraq),2014-06-11,"['Iran', 'Mevlut Cavusoglu', 'Nuri al-Maliki', 'Insurgent (Afghanistan)', 'Citizen (India)', 'Associated Press', 'Government (Nigeria)', 'Combatant (Justice and Equality Movement)', 'Legislature (Iraq)', 'Iraq']"
42,China,Sign formal agreement,Malaysia,2014-09-15,"['Malaysia', 'China', 'South Korea', 'Other Authorities / Officials (Mexico)', 'Amnesty International', 'Police (Sudan)', 'Iraq', 'Food and Agriculture Organization', 'Abdullah Gül', 'Kapil Sibal']"
43,Police (Malaysia),"Arrest, detain, or charge with legal action",Men (Malaysia),2014-10-15,"['Police (Malaysia)', 'Malaysia', 'Customs Official (Singapore)', 'Secretariat (Yemen)', 'Luis Beder Herrera', 'Indigenous People (India)', 'High Commission for Refugees', 'Newspaper (Malaysia)', 'Ijaw Youth Council', 'Kapil Sibal']"
44,Ashraf Ghani Ahmadzai,Sign formal agreement,Abdullah Abdullah,2014-07-14,"['Lawyer/Attorney (Argentina)', 'Ashraf Ghani Ahmadzai', 'Treasury/Finance Ministry (Czech Republic)', 'Julie Bishop', 'Citizen (Nigeria)', 'Bhutan', 'Carrie Lam', 'Megawati Sukarnoputri', 'Legislature (South Africa)', 'Member of Legislative (Govt) (Lebanon)']"
45,North Korea,Coerce,Chang Song Taek,2014-01-04,"['North Korea', 'Toomas Hendrik Ilves', 'Muslim (Afghanistan)', 'Iran Khodro Company', 'Secret Agent (Philippines)', 'Information Ministry (India)', 'Representatives (Slovakia)', '""Criminal (Hell\\\'s Angels)""', 'Abhisit Vejjajiva', 'Head of Government (Brazil)']"
46,Japan,"Express intent to ease economic sanctions, boycott, or embargo",North Korea,2014-07-03,"['North Korea', 'Greenpeace', 'Japan', 'Thailand', 'Education Ministry (United Arab Emirates)', 'Bhutan', 'Arab Israelis', 'Special Rapporteurs of the United Nations', 'Government Official (Japan)', 'Government (Pakistan)']"
47,Citizen (Kenya),Make an appeal or request,Government (Kenya),2014-08-14,"['Government (Kenya)', 'Citizen (Kenya)', 'Ma Ying Jeou', 'Mouloud Hamrouche', 'National Anti-Corruption Commission (Thailand)', 'South Korea', 'Radoslaw Sikorski', 'Al Jazeera', 'Doctors Without Borders', 'Police (Kenya)']"
48,South Korea,Express intent to meet or negotiate,North Korea,2014-08-25,"['North Korea', 'South Korea', 'National Unity Party (Somalia)', 'Kim Jong-Un', 'Governor (Yemen)', 'Myanmar', '""Criminal (Hell\\\'s Angels)""', 'Catherine Ashton', 'Head of Government (Egypt)', 'Morocco']"
49,Japan,Consult,South Korea,2014-09-26,"['South Korea', 'Japan', 'North Korea', 'Iran', 'China', 'Xi Jinping', 'Kim Jong-Un', 'Canada', 'Foreign Affairs (United States)', 'Cho Tai-young']"
50,South Korea,Demand,North Korea,2014-06-30,"['South Korea', 'North Korea', 'China', 'Fumio Kishida', 'John Kerry', 'Japan', 'Barack Obama', 'Myanmar', 'Foreign Affairs (South Korea)', 'Head of Government (South Korea)']"
51,Police (Ukraine),Use conventional military force,Protester (Ukraine),2014-03-10,"['Military (El Salvador)', 'Jamil Mahuad', 'Police (Ukraine)', 'Zhang Dejiang', 'Defense / Security Ministry (Ukraine)', 'Angola', 'Pervez Musharraf', 'Protester (Ukraine)', 'Member of Parliament (Sri Lanka)', 'Citizen (Venezuela)']"
52,South Korea,Express intent to cooperate,North Korea,2014-02-14,"['South Korea', 'North Korea', 'Media (Qatar)', 'China', 'Japan', 'Rasim Ljajic', 'Combatant (Iraqi Kurds)', 'Somsavat Lengsava', 'Ireland', 'Ion Iliescu']"
53,Police (Ukraine),Use tactics of violent repression,Protester (Ukraine),2014-04-06,"['Treasury/Finance Ministry (Bangladesh)', '""Awami (People\\\'s) League""', 'Police (Ukraine)', 'Amit Shah', 'UN Security Council', 'John Hoeven', 'Musa Cerantonio', 'People Associated with the Opposition (Bahrain)', 'Rights Activist (China)', 'Oleh Lyashko']"
54,Thailand,"Arrest, detain, or charge with legal action",Citizen (Thailand),2014-04-07,"['Thailand', 'Combatant (Islamic State of Iraq and the Levant)', 'Citizen (Thailand)', 'Gideon Gono', 'Ireland', 'Prayuth Chan-ocha', 'Military (Thailand)', 'Cabinet / Council of Ministers / Advisors (Thailand)', 'Laos', 'Royal Thai Police']"
55,Naval (Sri Lanka),"Arrest, detain, or charge with legal action",Fishermen (India),2014-05-25,"['Police (Benin)', 'Naval (Sri Lanka)', '""Awami (People\\\'s) League""', 'Men (United Kingdom)', 'Hezbollah', 'Businessperson (United Kingdom)', 'Border Security Force', 'Reserve Personnel (Iran)', 'Naval (Bangladesh)', 'Colombia']"
56,Alexander Lukashevich,Make statement,Sergey Viktorovich Lavrov,2014-06-09,"['Sergey Viktorovich Lavrov', 'Mexico', 'Alexander Lukashevich', 'Doctors Without Borders', 'Government Official (Egypt)', 'Royal Thai Police', 'Liyel Imoke', 'Inter-Services Intelligence', 'Foreign Affairs (Czech Republic)', 'Defense / Security Ministry (Nigeria)']"
57,Military Personnel - Special (Afghanistan),Use conventional military force,Militant (Taliban),2014-09-29,"['Military (Russia)', 'Combatant (Iraqi Kurds)', 'Military Personnel - Special (Afghanistan)', 'Dimitrios Avramopoulos', 'Barack Obama', 'Philippines', 'Afghanistan', 'Government (Pakistan)', 'Military (United Kingdom)', 'Afghan National Army']"
58,Sergey Viktorovich Lavrov,Express intent to meet or negotiate,Kazakhstan,2014-04-03,"['Defense / Security Ministry (Egypt)', 'Sergey Viktorovich Lavrov', 'Kidnapper (Indonesia)', '""Uganda People\\\'s Defence Force""', 'Party Member (Taiwan)', 'Fumio Kishida', 'South Africa', 'Military (Turkey)', 'Treasury/Finance Ministry (Bangladesh)', 'AIDESEP']"
59,Citizen (Nigeria),Criticize or denounce,Government (Nigeria),2014-10-13,"['Citizen (Nigeria)', 'Labor Party (New Zealand)', 'Secretariat (Nigeria)', 'Government (Nigeria)', 'Majid Takht Ravanchi', 'Military (China)', 'The Hague', 'Guy Ryder', 'Chief of Staff (Tunisia)', 'Media (Africa)']"
60,Ethiopia,Cooperate economically,Sudan,2014-08-26,"['Head of Government (Pakistan)', 'Sudan', 'Ethiopia', 'Member of Parliament (Germany)', 'Simbarashe Mumbengegwi', 'Slovenia', 'Antonis Samaras', 'Ivan Gasparovic', 'Public Prosecutor (Greece)', 'Abdul Aziz']"
61,Xi Jinping,Make statement,China,2014-05-22,"['China', 'Citizen (Unidentified State Actor)', 'Xi Jinping', 'Raúl Castro', 'South Africa', 'Ivan Gasparovic', 'Medical Personnel (Jordan)', 'Party Member (Afghanistan)', 'Citizen (Yemen)', 'Emrullah Isler']"
62,Citizen (India),Use unconventional violence,Chief Secretary Chandra,2014-05-11,"['Daniela Bobeva', 'Citizen (India)', 'Other Authorities / Officials (Guinea)', 'Robert Hughes', 'Businessperson (Mauritania)', 'Peacekeeping Troop (Central African Republic)', 'Oommen Chandy', 'Iran', 'Inter-Services Intelligence', 'Gary Nkombo']"
63,Public Prosecutor (Colombia),"Arrest, detain, or charge with legal action",Labor Union (Colombia),2014-09-22,"['Public Prosecutor (Colombia)', 'Newspaper (Japan)', 'François Hollande', 'Lawyer/Attorney (Argentina)', 'Energy Department/Ministry (Jordan)', 'Mohammed Deif', 'Nabih Berri', 'Academic Staff Union of Universities', 'Attila Korodi', 'Domestic Affairs (Yemen)']"
64,Citizen (India),Accuse,Head of Government (India),2014-07-18,"['Citizen (India)', 'Business (Poland)', 'Iran Khodro Company', 'Indigenous People (Syria)', 'Mexico', 'Employee (India)', 'Opposition Supporter (India)', 'Medha Patkar', 'Police (Syria)', 'Criminal (Guatemala)']"
65,Foreign Affairs (United States),Make statement,Iran,2014-09-03,"['Iran', 'Foreign Affairs (United States)', 'Head of Government (South Korea)', 'Government Official (Japan)', 'Court Judge (Kenya)', 'Citizen (South Korea)', 'Media (Saudi Arabia)', 'Nasser Judeh', 'Paul Kagame', 'Ashraf Ghani Ahmadzai']"
66,South Korea,Demand,North Korea,2014-02-06,"['South Korea', 'North Korea', 'China', 'Fumio Kishida', 'John Kerry', 'Japan', 'Barack Obama', 'Myanmar', 'Foreign Affairs (South Korea)', 'Head of Government (South Korea)']"
67,Government (Angola),Sign formal agreement,Education Ministry (Angola),2014-01-23,"['Government (Angola)', 'Bahrain', 'Arseniy Yatsenyuk', 'Citizen (Venezuela)', 'Svoboda', 'Abdul Aziz', 'Anglican Communion News Service', 'Anifah Aman', 'Alfred Mutua', 'Sergey Kuzhugetovich Shoygu']"
68,Police (Kenya),"Arrest, detain, or charge with legal action",Citizen (Kenya),2014-12-17,"['Citizen (Kenya)', 'City Mayor (South Africa)', 'Police (Kenya)', 'William ole Ntimama', 'Foreign Affairs (Hungary)', 'Macky Sall', 'France', 'Government (Nigeria)', 'Defense / Security Ministry (Angola)', 'Government (South Africa)']"
69,China,Criticize or denounce,Japan,2014-01-22,"['Japan', 'Abdul Aziz', 'China', 'Prem Tinsulanonda', 'Royal Thai Police', 'Serbia', 'Military Academy (North Korea)', 'Government Official (Japan)', 'South Korea', 'North Korea']"
70,Citizen (Nigeria),Occupy territory,Government (Nigeria),2014-09-23,"['Citizen (Nigeria)', 'Government (Nigeria)', 'Raheel Sharif', 'Kyoto University', 'Office of the United Nations High Commissioner for Human Rights', 'Government Official (Japan)', 'Armed Rebel (Turkish Kurds)', 'Head of Government (Poland)', 'Liyel Imoke', 'Foreign Affairs (Czech Republic)']"
71,Vietnam,"Return, release person(s)",Dissident (Vietnam),2014-04-15,"['Vietnam', 'Police (Burundi)', 'Nasser Judeh', 'Gideon Gono', 'Foreign Affairs (Malaysia)', 'Bank (Tajikistan)', 'Sadayuki Sakakibara', 'Other Authorities / Officials (Nigeria)', 'Police (Benin)', 'Indigenous People (Syria)']"
72,Media Personnel (Saudi Arabia),Make statement,Media (Saudi Arabia),2014-10-01,"['Armed Gang (Syria)', 'Ministry (France)', 'Media Personnel (Saudi Arabia)', 'Josh Earnest', 'Terrorist (Syria)', 'Education Ministry (Iran)', 'Public Prosecutor (Greece)', 'Alexis Tsipras', 'Citizen (United Kingdom)', 'Shah Mehmood Qureshi']"
73,North Korea,Make a visit,South Korea,2014-10-07,"['South Korea', 'North Korea', 'Myanmar', 'Foreign Affairs (Italy)', 'Independent Corrupt Practices Commission', 'Ministry (Tunisia)', 'Inter-Services Intelligence', 'China', 'Xi Jinping', 'Cabinet / Council of Ministers / Advisors (United States)']"
74,Barack Obama,Make a visit,Japan,2014-04-26,"['Japan', 'Barack Obama', 'Fumio Kishida', 'Mohamed Ould Abdel Aziz', 'Police (Burundi)', 'Citizen (India)', 'Governor (India)', 'Main Opposition (Turkey)', 'South Korea', 'Iran']"
75,Police (Australia),"Arrest, detain, or charge with legal action",Citizen (Australia),2014-08-06,"['Police (Australia)', 'Citizen (Australia)', 'China', 'Police (Philippines)', 'Malaysia', 'Military (Lebanon)', 'New Zealand', 'Thailand', 'South Africa', 'Philippines']"
76,Police (Australia),"Arrest, detain, or charge with legal action",Citizen (Australia),2014-11-14,"['Police (Australia)', 'Citizen (Australia)', 'China', 'Police (Philippines)', 'Malaysia', 'Military (Lebanon)', 'New Zealand', 'Thailand', 'South Africa', 'Philippines']"
77,Media Personnel (Saudi Arabia),Make statement,Media (Saudi Arabia),2014-01-28,"['Armed Gang (Syria)', 'Ministry (France)', 'Media Personnel (Saudi Arabia)', 'Josh Earnest', 'Terrorist (Syria)', 'Education Ministry (Iran)', 'Public Prosecutor (Greece)', 'Alexis Tsipras', 'Citizen (United Kingdom)', 'Shah Mehmood Qureshi']"
78,China,Express intent to meet or negotiate,South Korea,2014-05-22,"['China', 'North Korea', 'Iran', 'Xi Jinping', 'Head of Government (Qatar)', 'Citizen (South Korea)', 'Fumio Kishida', 'Cabinet / Council of Ministers / Advisors (United States)', 'John Kerry', 'Japan']"
79,Police (Australia),Make an appeal or request,Citizen (Australia),2014-01-28,"['Citizen (Australia)', 'Police (Australia)', '""Citizen (Cote d\\\'Ivoire)""', 'Men (Argentina)', 'Opposition Supporter (Pakistan)', 'Medical Personnel (India)', 'Amnesty International', 'Prayuth Chan-ocha', 'Citizen (United Kingdom)', 'Julie Bishop']"
80,Police (United States),Make statement,Mazda,2014-01-02,"['National Security and Intelligence Services', 'Police (United States)', 'Chief Court Judge (Angola)', 'Armed Gang (United States)', 'Police (Canada)', 'Ministry (Malaysia)', 'Scientist (Uganda)', 'Police (Benin)', 'Royal Thai Police', 'Government (France)']"
81,Boko Haram,Use conventional military force,Citizen (Nigeria),2014-11-21,"['Citizen (Nigeria)', 'Boko Haram', 'Labor Union (Nigeria)', 'Citizen (Botswana)', 'Lawyer/Attorney (Argentina)', 'Clergy (Nigeria)', 'Shura Council', 'Military Personnel (Afghanistan)', 'Gurbanguly Berdymukhammedov', 'Head of Government (India)']"
82,Afghanistan,Host a visit,Ashraf Ghani Ahmadzai,2014-08-04,"['Afghanistan', 'Citizen (Turkey)', 'Paul Kagame', 'Ashraf Ghani Ahmadzai', 'Milos Zeman', 'China', 'North Atlantic Treaty Organization', 'Head of Government (Pakistan)', 'Abdullah Abdullah', 'Jens Stoltenberg']"
83,Protester (Ukraine),"Protest violently, riot",Police (Ukraine),2014-03-05,"['Foreign Affairs (United States)', 'Protester (Ukraine)', 'Detainee (Lebanon)', 'Democratic Forces for the Liberation of Rwanda', 'Citizen (Turkey)', 'Djoomart Otorbaev', 'Legislature (Argentina)', 'Party Member (Taiwan)', 'Michael Sata', 'Tajikistan']"
84,Japan,Express intent to cooperate,South Korea,2014-09-11,"['South Korea', 'Japan', 'Public Prosecutor (Greece)', 'Military Personnel (Canada)', 'International Monetary Fund', 'Kyoto University', 'North Korea', 'China', 'Citizen (South Korea)', 'Iraq']"
85,Citizen (Yemen),Use unconventional violence,Armed Rebel (Yemen),2014-06-28,"['Mouloud Hamrouche', 'Citizen (Yemen)', 'Businessperson (United Kingdom)', 'Media (Africa)', 'Interfax', 'Robert Hughes', 'Vera Jourova', 'Police (Peru)', 'Maldives', 'Government (Nigeria)']"
86,Police (Australia),Make an appeal or request,Citizen (Australia),2014-02-21,"['Citizen (Australia)', 'Police (Australia)', '""Citizen (Cote d\\\'Ivoire)""', 'Men (Argentina)', 'Opposition Supporter (Pakistan)', 'Medical Personnel (India)', 'Amnesty International', 'Prayuth Chan-ocha', 'Citizen (United Kingdom)', 'Julie Bishop']"
