,e1,relation,e2,date,predictions
14,Juan Carlos I,Make statement,Felipe de Borbon,2014-06-04,"['Evangelos Venizelos', 'Naval Base (India)', 'Education Ministry (United Arab Emirates)', 'DPWH', 'Citizen (Bulgaria)', 'Carrie Lam', 'Akja Nuberdiyeva', 'Ng Eng Hen', 'Government (France)', 'Foreign Affairs (Liberia)']"
15,Government Official (Mali),Demand,Military (Mali),2014-05-25,"['Military Personnel (Mali)', 'Foreign Affairs (Ukraine)', 'Mikhail Margelov', 'Women (Mexico)', 'Business (Portugal)', 'Shahin Mustafayev', 'Dino Melaye', 'Ministry (Malaysia)', 'Military (Argentina)', 'Anglican Communion News Service']"
16,Angela Merkel,Make statement,France,2014-02-19,"['Inter-Services Intelligence', 'Food and Agriculture Organization', 'Angela Merkel', 'United Russia', 'Labor Party (United Kingdom)', 'Ministry (France)', 'Foreign Affairs (Macedonia)', 'Qatar', 'Tsai Ing-wen', 'Mohammad Ali Najafi']"
17,Police (Saudi Arabia),Use conventional military force,Women (Afghanistan),2014-04-18,"['Military (China)', 'Government Official (Egypt)', 'Ministry (France)', 'Macky Sall', 'Foreign Affairs (Ukraine)', 'Police (Belgium)', 'Head of Government (China)', 'Company - Owner or Operator (Nigeria)', 'Head of Government (Palestinian Territory', 'Occupied)', 'Ryoo Kihl-jae']"
18,Michael Sata,Demand,Sylvia Masebo,2014-03-16,"['Akja Nuberdiyeva', 'Michael Sata', 'Mikhail Margelov', 'Government (France)', 'Head of Government (Brazil)', 'East African Community', 'Defense / Security Ministry (Nigeria)', 'Business (Uruguay)', 'Egyptian Army', 'High Ranking Military Personnel (Jordan)']"
19,Kuomintang,Make an appeal or request,Tsai Ing-wen,2014-11-15,"['Veterans (United States)', 'Interfax', 'Viktor Orban', 'Eugene Wamalwa', 'Alexander Lukashevich', 'Military (Argentina)', 'The Hague', 'Defense / Security Ministry (Italy)', 'Men (South Africa)', 'Ma Ying Jeou']"
20,Other Authorities / Officials (Mexico),Make statement,Mexico,2014-10-10,"['Criminal (Australia)', 'Gideon Gono', 'Josh Earnest', 'Mohamed Ould Abdel Aziz', 'Julie Bishop', 'Military (Thailand)', 'Citizen (Brazil)', 'Ministry (Malaysia)', 'Other Authorities / Officials (El Salvador)', 'Agence France-Presse']"
21,Ministry (Malaysia),Express intent to meet or negotiate,Citizen (Malaysia),2014-09-15,"['Newspaper (Japan)', 'Citizen (Venezuela)', 'Abdelilah Benkirane', 'China', 'Settler (Israel)', 'Chuck Hagel', 'Government (Nigeria)', 'Miguel Ángel Osorio Chong', 'Foreign Affairs (Ukraine)', 'Citizen (Kenya)']"
22,China,Engage in diplomatic cooperation,Fiji,2014-08-19,"['China', 'Middle East', 'Chuck Hagel', 'Criminal (Australia)', 'Information Ministry (India)', 'Employee (India)', 'Barnaba Marial Benjamin', 'Military Personnel (Bahrain)', 'Labor Union (Croatia)', 'Gurbanguly Berdymukhammedov']"
23,Business (Tunisia),Express intent to cooperate economically,Labor Union (Tunisia),2014-06-23,"['Business (Tunisia)', 'Ministry (Egypt)', 'Head of Government (Chile)', 'Evangelos Venizelos', 'Ministry (Zimbabwe)', 'Children (Zimbabwe)', 'Defense / Security Ministry (Azerbaijan)', 'Business (Russia)', 'Other Authorities / Officials (Egypt)', 'Women (Israel)']"
24,Sergey Viktorovich Lavrov,Consult,Abdoulaye Diop,2014-09-09,"['Sergey Viktorovich Lavrov', 'Hassan Joho', 'Defense / Security Ministry (Russia)', 'City Mayor (Chile)', 'Party Member (Afghanistan)', 'Cleric (Iraq)', 'Citizen (Venezuela)', 'Protester (Paraguay)', 'Barnaba Marial Benjamin', 'South Sudan']"
25,Arseniy Yatsenyuk,Consult,Joseph Robinette Biden,2014-07-29,"['Arseniy Yatsenyuk', 'Emmanuel Eweta Uduaghan', 'Laos', '""Uganda People\'s Defence Force""', 'Ricardo Gonzalez', 'Kidnapper (Indonesia)', 'Education (United States)', 'Qatar', 'Afghanistan', 'Head of Government (Egypt)']"
26,Police (Philippines),Investigate,Musa Cerantonio,2014-07-22,"['Police (Philippines)', 'Employee (India)', 'Public Prosecutor (Greece)', 'Hun Sen', 'Gazprom Neft', 'Mexico', 'Tsai Ing-wen', 'Government Official (Egypt)', 'Nazrul Islam', 'Iraq']"
27,Ministry (Nigeria),Appeal for diplomatic cooperation (such as policy support),Citizen (Nigeria),2014-12-23,"['Foreign Affairs (Venezuela)', 'Dmitry Anatolyevich Medvedev', 'Ministry (Nigeria)', 'Education (Nigeria)', 'Food and Agriculture Organization', 'Business (Uruguay)', 'African Union', 'Conservative Party (United Kingdom)', 'Iran', 'Hun Sen']"
28,Military Personnel (Kenya),Make statement,Al-Shabaab,2014-04-08,"['Military Personnel (Kenya)', 'Business (Russia)', 'Environment Department/Ministry (Jordan)', 'Defense / Security Ministry (Russia)', 'Citizen (Indonesia)', 'Julie Bishop', 'Education Ministry (United Arab Emirates)', 'Shahin Mustafayev', 'Kuwait', 'Military (El Salvador)']"
29,Head of Government (China),Make a visit,South Korea,2014-07-04,"['Head of Government (China)', 'Head of Government (Poland)', 'Dmitry Olegovich Rogozin', 'Other Authorities / Officials (Egypt)', 'Head of Government (Ukraine)', 'Isaias Afewerki', 'Angela Merkel', 'Kuwait', 'Military Advisor (United States)', 'Military (Niger)']"
30,Martin Indyk,Make a visit,Middle East,2014-07-04,"['Ministry (Liberia)', 'Shiv Sena', 'Military (El Salvador)', 'Legislature (Iraq)', 'Ombudsman (Georgia)', 'Eugene Wamalwa', 'Tan Sri Muhyiddin Yassin', 'Cameroon', 'Party President (Turkey)', 'Military (Middle East)']"
31,Hamas,Use conventional military force,Settler (Israel),2014-07-29,"['Mohammad Javad Zarif', 'Citizen (Namibia)', 'Citizen (Tonga)', 'Saud bin Faisal bin Abdul-Aziz', 'Head of Government (Poland)', 'Secret Agent (Philippines)', 'Kim Jong-Un', 'Frank Bainimarama', 'Konstantin Dolgov', 'UN Security Council']"
32,High Ranking Military Personnel (United Arab Emirates),Make statement,Criminal (United Arab Emirates),2014-04-07,"['John Odigie-Oyegun', 'Congo', 'China', 'John Kerry', 'Muhammadu Buhari', 'Defense / Security Ministry (Italy)', 'Patria', 'Protester (Yemen)', 'Iran Khodro Company', 'Anson Chan']"
33,The Standard,Consult,Joseph Ole Lenku,2014-06-15,"['The Standard', 'People Associated with the Opposition (Benin)', 'Inter-Services Intelligence', 'Pope Francis', 'Sergey Kuzhugetovich Shoygu', 'Bahrain', 'Government (Palestinian Territory', 'Occupied)', 'Thief (Tonga)', 'Morocco', 'Head of Government (Egypt)']"
34,Anders Breivik,Use unconventional violence,Citizen (Norway),2014-09-05,"['Irakli Alasania', 'Other Authorities / Officials (Libya)', 'Emrullah Isler', 'Citizen (Norway)', 'Cameroon', 'Maldives', 'Military Personnel (India)', 'High Commission for Refugees', 'Military (Kazakhstan)', 'Gediminas Kirkilas']"
35,Nuri al-Maliki,Make statement,Iraq,2014-06-29,"['Nuri al-Maliki', 'Citizen (Venezuela)', 'Tajikistan', 'Government (Sweden)', 'Angola', 'Angela Merkel', 'Gambia', 'Canada', 'Citizen (India)', 'Progressive Party (Nigeria)']"
36,UN Security Council,Criticize or denounce,North Korea,2014-08-10,"['Ireland', 'UN Security Council', 'Hassan Joho', 'Sierra Leone', 'Dmitry Anatolyevich Medvedev', 'Security Service of Ukraine', 'Foreign Affairs (Venezuela)', 'Khalid bin Ali Al Khalifa', 'Kevin Rudd', 'Media Personnel (Namibia)']"
37,Boko Haram,Use conventional military force,Government (Nigeria),2014-04-16,"['Michael Sata', 'Other Authorities / Officials (Romania)', 'Ivan Gasparovic', 'Government (Sweden)', 'Political Parties (Haiti)', 'Iran', 'Military (Central African Republic)', 'Muslim (Afghanistan)', 'Armed Rebel (Ukraine)', 'Foreign Affairs (Czech Republic)']"
38,Military Personnel (Yemen),Make statement,Militant (Yemen),2014-06-02,"['Military Personnel (Paraguay)', 'Armed Rebel (Syria)', 'Government (France)', 'Military (Turkey)', 'Men (Pakistan)', 'Employee (Malaysia)', 'Central Military Commission', 'Men (United States)', 'Party President (Turkey)', 'Military Personnel (Yemen)']"
39,Iraq,Host a visit,Nuri al-Maliki,2014-04-17,"['Baron Waqa', 'Special Rapporteurs of the United Nations', 'Progressive Party (Nigeria)', 'Joseph Robinette Biden', 'Abdullah Gül', 'Frank Bainimarama', 'The Standard', 'Interfax', 'Election Commission (India)', 'Iraq']"
40,South Korea,Host a visit,Kim Jong-Un,2014-06-20,"['European Central Bank', 'South Korea', 'Citizen (South Korea)', 'Mary Robinson', 'Uhuru Muigai Kenyatta', 'Citizen (Malaysia)', 'Agence France-Presse', 'Serbia', 'Morgan Tsvangirai', 'Cameroon']"
41,Benjamin Netanyahu,Criticize or denounce,Hamas,2014-09-30,"['Israeli Defense Forces', 'Citizen (Yemen)', 'Al Jazeera', 'Benjamin Netanyahu', 'Military (Middle East)', 'Josh Earnest', 'Mexico', 'Attila Korodi', 'Insurgent (Fula people)', 'Royal Administration (Jordan)']"
42,Central Intelligence Agency,Attempt to assassinate,Kim Jong-Un,2014-12-03,"['Lawyer/Attorney (Germany)', 'Joachim Gauck', 'Japan', 'Police (Ethiopia)', 'Justice and Development Party', 'Khalid bin Ali Al Khalifa', 'Afghanistan', 'Abdirahman Ducaale Bayle', 'Arseniy Yatsenyuk', 'Energy Department/Ministry (Jordan)']"
43,South Korea,Host a visit,Malaysia,2014-04-26,"['European Central Bank', 'South Korea', 'Citizen (South Korea)', 'Mary Robinson', 'Uhuru Muigai Kenyatta', 'Citizen (Malaysia)', 'Agence France-Presse', 'Serbia', 'Morgan Tsvangirai', 'Cameroon']"
44,Militant (Nigeria),Criticize or denounce,Government (Nigeria),2014-12-23,"['Ministry (Liberia)', 'Ministry (Afghanistan)', 'Ministry (Bosnia and Herzegovina)', 'Business (Uruguay)', 'Legislature (Libya)', 'Rights Activist (Belarus)', 'Nicola Sturgeon', 'People Associated with the Opposition (Bahrain)', 'Other Authorities / Officials (Romania)', 'High Commission for Refugees']"
45,Muhammadu Buhari,Make statement,Murtala Nyako,2014-11-28,"['Dmitry Anatolyevich Medvedev', 'Ukrinform', 'Head of Government (Brazil)', 'Medical Personnel (Australia)', 'Raúl Castro', 'Massoud Barzani', 'Men (United Kingdom)', 'Military Personnel (Kenya)', 'Treasury/Finance Ministry (Saudi Arabia)', '""Sudan People\'s Liberation Army""']"
46,Police (Australia),Accuse,Criminal (Australia),2014-10-22,"['Arseniy Yatsenyuk', 'City Mayor (Philippines)', 'Cameroon', 'Vietnam', 'Military Academy (North Korea)', 'Djibouti', 'People Associated with the Opposition (Bahrain)', 'France', 'Opposition Supporter (India)', 'Special Rapporteurs of the United Nations']"
47,Police (Australia),"Return, release person(s)",Citizen (Australia),2014-03-26,"['Citizen (Australia)', 'Police (Australia)', 'Head of Government (Germany)', 'Citizen (Bangladesh)', 'Citizen (South Korea)', 'Foreign Affairs (Hungary)', 'Government (Argentina)', 'Tamar Beruchashvili', 'Military Personnel (Somalia)', 'Other Authorities / Officials (Lebanon)']"
48,Philip Hammond,Make statement,Iraq,2014-08-11,"['Interfax', 'Inter-Services Intelligence', 'Citizen (United Kingdom)', 'Detainee (Rwanda)', 'Lawmaker (South Korea)', 'Businessperson (United Kingdom)', 'European Central Bank', 'Defense / Security Ministry (Russia)', 'Philip Hammond', 'Colombia']"
49,Military Personnel (Nigeria),Make statement,Government (Nigeria),2014-05-13,"['Ministry (Tunisia)', 'International Government Organizations', 'Foreign Affairs (Italy)', 'Senate (United Kingdom)', 'Ishaq Dar', 'UN Security Council', 'African Union', 'Romania', 'Arthit Ourairat', 'Citizen (Bangladesh)']"
50,Kazakhstan,Consult,Afghanistan,2014-04-11,"['Kazakhstan', 'Sam Nda-Isaiah', 'Laos', 'Food and Agriculture Organization', 'Government (Palestinian Territory', 'Occupied)', 'Detainee (Rwanda)', 'Giorgio Napolitano', 'Yemi Osinbajo', 'Democratic Forces for the Liberation of Rwanda', 'Mujahideen (Somalia)']"
51,Nigerian Governors Forum,Make an appeal or request,Citizen (Nigeria),2014-01-20,"['Education Ministry (United Arab Emirates)', 'Media Personnel (Zimbabwe)', 'Legislature (Italy)', 'Labor Union (India)', 'Democratic Party (Nigeria)', 'Mahinda Rajapaksa', 'Treasury/Finance Ministry (Bangladesh)', 'Opposition Supporter (India)', 'Police (Burundi)', 'Businessperson (Belarus)']"
52,Protester (Hong Kong),Express intent to meet or negotiate,China,2014-11-13,"['Police (Hong Kong)', 'Canada', 'Governor (Democratic Republic of Congo)', 'Assemblies (Nigeria)', 'Congress of South African Trade Unions', 'Ng Eng Hen', 'Energy Department/Ministry (Iran)', 'Citizen (Turkey)', '""Awami (People\'s) League""', 'Military Personnel (Uganda)']"
53,Ethiopia,Host a visit,Japan,2014-09-03,"['Lawmaker (Indonesia)', 'Boko Haram', 'Tanzania', 'Citizen (Australia)', 'Special Rapporteurs of the United Nations', 'John Major', 'Men (Lebanon)', 'Military Personnel (Paraguay)', 'Ethiopia', 'Nigerian Bar Association']"
54,Solomon Public Employees Union,Make statement,"Government (Palestinian Territory, Occupied)",2014-07-22,"['Other Authorities / Officials (Zimbabwe)', 'Simbarashe Mumbengegwi', 'Employee (Jordan)', 'Mohammad Ali Najafi', 'Education (United States)', 'Media (Pakistan)', 'Government (Croatia)', 'Frank Mba', 'Reserve Personnel (Russia)', 'Naval Base (India)']"
55,Ministry (Egypt),Make statement,Police (Egypt),2014-03-31,"['Citizen (India)', 'Treasury/Finance Ministry (Thailand)', 'Head of Government (Poland)', 'Combatant (Egypt)', 'Justice and Development Party', 'Head of Government (India)', 'Men (India)', 'Citizen (Malaysia)', 'Barack Obama', 'Bahrain']"
56,Fumio Kishida,Make statement,Japan,2014-09-23,"['Viktor Orban', 'Fumio Kishida', 'Abdirahman Ducaale Bayle', 'Citizen (Tanzania)', 'Military Academy (North Korea)', 'Legislature (Romania)', 'City Mayor (Costa Rica)', 'Police (Burundi)', 'Public Prosecutor (Greece)', 'Afghanistan']"
57,William Kabogo,Appeal for diplomatic cooperation (such as policy support),Citizen (Kenya),2014-11-10,"['Mulikat Akande-Adeola', 'Businessperson (United Kingdom)', 'Colombia', 'Michael Sata', 'Augustine Alegeh', 'Other Authorities / Officials (Guinea)', 'Abdullah Gül', 'Armed Rebel (Ukraine)', 'Asylum Seeker (Chile)', 'Tajikistan']"
58,Guinea,Express intent to meet or negotiate,Jose Mario Vaz,2014-06-02,"['Head of Government (Pakistan)', 'Citizen (Kenya)', 'Food and Agriculture Organization', 'South Africa', 'Rafael Correa', 'Inter-Services Intelligence', 'Thailand', 'Serbia', 'Criminal (Guatemala)', 'Central Intelligence Agency']"
59,Election Commission (India),Make an appeal or request,Citizen (India),2014-04-21,"['Election Commission (India)', 'Representatives (Slovakia)', 'Interfax', 'Head of Government (India)', 'Viktor Orban', 'City Mayor (South Africa)', 'People Associated with the Opposition (Russia)', 'Sadayuki Sakakibara', 'Other Authorities / Officials (Zimbabwe)', 'Chuck Hagel']"
60,Other Authorities / Officials (Nigeria),Make statement,Government (Nigeria),2014-11-12,"['Moro Islamic Liberation Front', 'Ministry (Iran)', 'Chris Murphy', 'Special Rapporteurs of the United Nations', 'Maldives', 'Thailand', 'William Ruto', 'Akja Nuberdiyeva', 'Muslim (Nigeria)', 'International Court of Justice']"
61,Valdis Dombrovskis,Decline comment,Party Member (Latvia),2014-05-26,"['National Action Party (Mexico)', 'Mexico', 'International Court of Justice', 'Defense / Security Ministry (Italy)', 'Criminal (Australia)', 'Foreign Affairs (Italy)', 'Police (Egypt)', 'Men (United Kingdom)', 'Vietnam', 'Labor and Employment Ministry (Egypt)']"
62,Citizen (Nigeria),Make an appeal or request,Government (Nigeria),2014-05-08,"['Citizen (Nigeria)', 'Mega Channel', 'Interfax', 'Central Military Commission', 'Lawmaker (Lithuania)', 'Prayuth Chan-ocha', 'Education Ministry (Iran)', 'John Kerry', 'Combatant (Syrian Kurds)', 'Paul Kagame']"
63,Men (Philippines),"Conduct suicide, car, or other non-military bombing",Philippines,2014-05-05,"['Abdelilah Benkirane', 'Vietnam', 'Senate (Paraguay)', 'Hun Sen', 'Police (Philippines)', 'Hemant Soren', 'Joseph Ole Lenku', 'Student (Hong Kong)', 'Military Personnel (Uganda)', 'Citizen (United Arab Emirates)']"
64,Evangelos Venizelos,Accuse,Main Opposition (Greece),2014-09-07,"['Human Rights Watch', 'Children (Philippines)', 'National Council for Peace and Order of Thailand', 'Indigenous People (Nigeria)', 'Party Member (Jordan)', 'Shahin Mustafayev', 'Dmitry Olegovich Rogozin', 'Myanmar', 'Lawyer/Attorney (Argentina)', 'Men (Pakistan)']"
65,Fumio Kishida,Make statement,Japan,2014-07-07,"['Viktor Orban', 'Fumio Kishida', 'Abdirahman Ducaale Bayle', 'Citizen (Tanzania)', 'Military Academy (North Korea)', 'Legislature (Romania)', 'City Mayor (Costa Rica)', 'Police (Burundi)', 'Public Prosecutor (Greece)', 'Afghanistan']"
66,Aladdin Boroujerdi,Reject,Iran,2014-02-01,"['Businessperson (United Kingdom)', 'Inter-Services Intelligence', 'Colombia', 'Shiv Sena', 'Independent Corrupt Practices Commission', 'Party Member (Afghanistan)', 'Ruling Parties (Nepal)', 'Cleric (Iraq)', 'Qatar', 'Herve Ladsous']"
67,Reza Najafi,Make statement,Iran,2014-10-08,"['Alexander Grushko', 'Government (Argentina)', 'Shiv Sena', 'Business (Cuba)', 'Iran', 'Iran Khodro Company', 'Kevin Rudd', 'National Union Party (Romania)', 'Yemi Osinbajo', 'Kyoto University']"
68,Police (Jamaica),Investigate,Armed Gang (Jamaica),2014-02-15,"['Citizen (Yemen)', 'Tsai Ing-wen', 'Asang Laol', 'Shiv Sena', 'John Kerry', 'Treasury/Finance Ministry (Czech Republic)', 'Oommen Chandy', 'Philippines', 'Sultan bin Saeed Al Mansouri', 'Andrej Kiska']"
69,Ministry of Communication (Mauritania),Make an appeal or request,Citizen (Mauritania),2014-09-10,"['Milos Zeman', 'Abdiweli Shaykh Ahmad', 'William ole Ntimama', 'Barnaba Marial Benjamin', 'Carlos Mesa', 'Xi Jinping', 'Party Member (Zambia)', 'Shahin Mustafayev', 'Education Ministry (United Arab Emirates)', 'Rauf Aregbesola']"
70,Ministry (South Africa),Make statement,South Africa,2014-12-19,"['Dino Melaye', 'Tsai Ing-wen', 'Women (Angola)', 'Criminal (Tanzania)', '""Awami (People\'s) League""', 'Cabinet / Council of Ministers / Advisors (Angola)', 'Mahinda Rajapaksa', 'Foreign Affairs (Russia)', 'Ireland', 'People Associated with the Opposition (Bahrain)']"
71,China,Criticize or denounce,Japan,2014-09-02,"['China', 'Romania', 'Japan', 'Takeshi Onaga', 'Umar al Bashir', 'Men (United States)', 'Activist (Syria)', 'Baron Waqa', 'Lawmaker (Indonesia)', 'Colombia']"
72,Governor (Thailand),Consult,Gen Prayut Chan-o-cha,2014-09-15,"['Governor (Thailand)', 'Military Personnel (Afghanistan)', 'Rauf Aregbesola', 'Foreign Affairs (Italy)', 'Iurie Leanca', 'Men (India)', 'Government (France)', 'Defense / Security Ministry (Russia)', 'Citizen (United Kingdom)', 'Military (North Korea)']"
73,Uhuru Muigai Kenyatta,Demand,Citizen (Kenya),2014-05-02,"['Uhuru Muigai Kenyatta', 'Carrie Lam', 'Japan Self-Defense Forces', 'Energy Department/Ministry (Jordan)', 'Criminal (Israel)', 'Congress of South African Trade Unions', 'Men (United States)', 'Citizen (South Korea)', 'Murtala Nyako', 'Education Ministry (United Arab Emirates)']"
74,Armed Gang (Al Qaeda),Carry out suicide bombing,Citizen (Yemen),2014-10-11,"['Women (Mexico)', 'Treasury/Finance Ministry (Peru)', 'Women (Hong Kong)', 'Foreign Affairs (Russia)', 'Ma Ying Jeou', 'Other Authorities / Officials (Guinea)', 'Head of Government (India)', 'Citizen (Unidentified State Actor)', 'Abdelilah Benkirane', 'Amnesty International']"
75,Terrorist (Hamas),Praise or endorse,"Government (Palestinian Territory, Occupied)",2014-04-26,"['Lulzim Basha', 'Canada', 'Insurgent (Afghanistan)', 'Militant (Ukraine)', 'Foreign Affairs (Russia)', 'Peacekeeping Troop (Central African Republic)', 'Head of Government (Germany)', 'The Standard', 'Frank Mba', 'Serbia']"
76,Ministry (Kuwait),Consult,Sabah Khaled Al-Hamad Al-Sabah,2014-11-09,"['Terrorist Leader (Al Qaeda)', 'Domestic Affairs (Australia)', 'Ashraf Ghani Ahmadzai', 'Hassan Fadlallah', 'Andriy Klyuyev', 'Mujahideen (Somalia)', 'Military (Central African Republic)', 'Cristina Fernández de Kirchner', 'Yoshimi Watanabe', 'Eshaq Jahangiri']"
77,Tahirul Qadri,Demand change in leadership,Head of Government (Pakistan),2014-08-27,"['Mikhail Margelov', 'Armed Gang (Afghanistan)', 'Member of Parliament (India)', 'Jose Mario Vaz', 'Staffan de Mistura', 'Débora Giorgi', 'Other Authorities / Officials (China)', 'Chuck Hagel', 'Miguel Macedo', 'Foreign Affairs (Liberia)']"
78,Police (Tanzania),Make statement,Criminal (Tanzania),2014-08-25,"['Businessperson (Italy)', 'Pavlo Klimkin', 'Nguyen Phu Trong', 'Media (Africa)', 'Slovenia', 'Dmitry Anatolyevich Medvedev', 'Protester (Kyrgyzstan)', 'Head of Government (Ukraine)', 'Legislature (Czech Republic)', 'Activist (Nigeria)']"
79,Irakli Alasania,Make statement,John Kerry,2014-02-11,"['Education Ministry (Iran)', 'Congress (Philippines)', 'High Ranking Military Personnel (Mauritania)', 'Kidnapper (Argentina)', 'Enrico Letta', 'Police (Burundi)', 'Progressive Party (Nigeria)', 'Labor Union (Nigeria)', 'Foreign Affairs (Russia)', 'Iran']"
80,Citizen (Nigeria),Express intent to engage in diplomatic cooperation (such as policy support),Head of Government (Nigeria),2014-07-21,"['Citizen (Nigeria)', 'Foreign Affairs (Czech Republic)', 'Education (United States)', 'Defense / Security Ministry (Nigeria)', 'Sergey Viktorovich Lavrov', 'Presidential Press Service (Nigeria)', 'Lawyer/Attorney (Australia)', 'Treasury/Finance Ministry (Bangladesh)', 'Didier Burkhalter', 'Justice Department/Ministery (Sri Lanka)']"
81,France,Host a visit,Xi Jinping,2014-03-25,"['France', 'Sergey Kuzhugetovich Shoygu', 'Ministry (Egypt)', 'Armenia', 'Media (India)', 'Main Opposition (Turkey)', 'Royal Administration (Jordan)', 'Protester (Thailand)', 'Pervez Musharraf', 'Raheel Sharif']"
82,Pervez Musharraf,Reject,Tahirul Qadri,2014-10-01,"['Ministry (Venezuela)', 'Criminal (Guatemala)', 'Foreign Affairs (Ukraine)', 'Police (South Africa)', 'Doctors Without Borders', 'Kevin Rudd', 'Philippines', 'Cabinet / Council of Ministers / Advisors (United States)', 'Ethiopia', 'Newspaper (Japan)']"
83,Hannes Swoboda,Engage in negotiation,Fotis Kouvelis,2014-03-07,"['Hannes Swoboda', 'Tamar Beruchashvili', 'House of Representatives (Jordan)', 'Citizen (Bangladesh)', 'Other Authorities / Officials (Russia)', 'Nordic Council', 'Opposition Supporter (India)', 'High Commission for Refugees', 'Mouloud Hamrouche', 'Urmas Reinsalu']"
